site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method
US-NR3,40.052,-105.5864,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
US-NSa,36.6029,-119.5061,11,Herbaceous cover,1,Cropland,exact
US-NSb,36.3354,-120.1183,11,Herbaceous cover,1,Cropland,exact
US-Oho,41.5545,-83.8438,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-ONA,27.3836,-81.9509,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-OPE,39.0293,-76.8457,130,Grassland,4,Grassland,exact
US-OWC,41.3793,-82.5124,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-PAS,27.3944,-81.951,130,Grassland,4,Grassland,exact
US-PFb,45.972,-90.3232,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-PFc,45.9677,-90.3088,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-PFd,45.9689,-90.301,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-PFf,45.9458,-90.2944,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-PFg,45.9735,-90.2723,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-PFh,45.9557,-90.2406,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-PFi,45.9749,-90.2327,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-PFj,45.9619,-90.227,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-PFk,45.9149,-90.3425,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-PFL,45.9409,-90.3177,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-PFm,45.9207,-90.3099,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-PFn,45.9392,-90.2823,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-PFp,45.9365,-90.2641,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-PFq,45.9271,-90.2475,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-PFr,45.9245,-90.2475,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-PFt,45.9197,-90.2288,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-PLo,42.7496,-70.9157,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-Prr,65.1237,-147.4876,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
US-PSH,36.2347,-119.9247,11,Herbaceous cover,1,Cropland,exact
US-PSL,36.8276,-120.1397,11,Herbaceous cover,1,Cropland,exact
US-RC1,46.7837,-117.0777,11,Herbaceous cover,1,Cropland,exact
US-RC2,46.7776,-117.0807,11,Herbaceous cover,1,Cropland,exact
US-RC3,46.991,-118.598,11,Herbaceous cover,1,Cropland,exact
US-RC4,46.758,-116.949,11,Herbaceous cover,1,Cropland,exact
US-RC5,47.01,-119.248,130,Grassland,4,Grassland,exact
US-RGA,34.4159,-91.6733,11,Herbaceous cover,1,Cropland,exact
US-RGB,39.5782,-121.8579,11,Herbaceous cover,1,Cropland,exact
US-RGF,37.6995,-121.1369,11,Herbaceous cover,1,Cropland,exact
US-RGo,39.6805,-122.0026,11,Herbaceous cover,1,Cropland,exact
US-RGW,33.6216,-91.4306,11,Herbaceous cover,1,Cropland,exact
US-Rls,43.1439,-116.7356,120,Shrubland,3,Shrubland,exact
US-Rms,43.0645,-116.7486,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Ro1,44.7143,-93.0898,11,Herbaceous cover,1,Cropland,exact
US-Ro2,44.7288,-93.0888,11,Herbaceous cover,1,Cropland,exact
US-Ro3,44.7217,-93.0893,11,Herbaceous cover,1,Cropland,exact
US-Ro4,44.6781,-93.0723,11,Herbaceous cover,1,Cropland,exact
US-Ro5,44.691,-93.0576,11,Herbaceous cover,1,Cropland,exact
US-Ro6,44.6946,-93.0578,11,Herbaceous cover,1,Cropland,exact
US-Rpf,65.1198,-147.429,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact
US-RRC,37.3344,-77.2065,210,Water bodies,9,Water,exact
US-Rwe,43.0653,-116.7591,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Rwf,43.1207,-116.7231,120,Shrubland,3,Shrubland,exact
US-Rws,43.1675,-116.7132,120,Shrubland,3,Shrubland,exact
US-Sag,69.5131,-148.5676,140,Lichens and mosses,10,Other,exact
US-SD1,41.2048,-86.0296,11,Herbaceous cover,1,Cropland,exact
US-SD2,41.1785,-85.9977,11,Herbaceous cover,1,Cropland,exact
US-Seg,34.3603,-106.7003,120,Shrubland,3,Shrubland,exact
US-Ses,34.335,-106.7448,120,Shrubland,3,Shrubland,exact
US-SHC,39.4315,-120.2398,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Slt,39.9138,-74.596,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
US-Sne,38.0369,-121.7547,11,Herbaceous cover,1,Cropland,exact
US-Snf,38.0402,-121.7272,11,Herbaceous cover,1,Cropland,exact
US-SP1,29.7381,-82.2188,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-SRC,31.9083,-110.8395,120,Shrubland,3,Shrubland,exact
US-SRG,31.7894,-110.8277,120,Shrubland,3,Shrubland,exact
US-SRM,31.8214,-110.8661,120,Shrubland,3,Shrubland,exact
US-Srr,38.2006,-122.0264,130,Grassland,4,Grassland,exact
US-SRS,31.8173,-110.8508,120,Shrubland,3,Shrubland,exact
US-SSH,40.6658,-77.9041,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-Sta,41.3966,-106.8024,120,Shrubland,3,Shrubland,exact
US-StJ,39.0882,-75.4372,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-Syv,46.2421,-89.3459,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-TaS,25.1908,-80.6391,210,Water bodies,9,Water,exact
