site_id,site_name,lat,lon,elev,igbp,mat,map,dataset
US-SRM,Santa Rita Mesquite,31.8214,-110.8661,1120,WSA,17.92,380,FLUXNET2015
US-Sta,Saratoga,41.3966,-106.8024,2069,OSH,5.1,NA,FLUXNET2015
US-Syv,Sylvania Wilderness Area,46.242,-89.3477,540,MF,3.81,826,FLUXNET2015
US-Ton,Tonzi Ranch,38.4309,-120.966,177,WSA,15.8,559,FLUXNET2015
US-Tw1,Twitchell Wetland West Pond,38.1074,-121.6469,-5,WET,15.5,421,FLUXNET2015
US-Tw2,Twitchell Corn,38.0969,-121.6365,-5,CRO,15.5,421,FLUXNET2015
US-Tw3,Twitchell Alfalfa,38.1152,-121.6469,-4,CRO,15.6,421,FLUXNET2015
US-Tw4,Twitchell East End Wetland,38.1027,-121.6413,-5,WET,15.6,421,FLUXNET2015
US-Twt,Twitchell Island,38.1087,-121.6531,-7,CRO,15.6,421,FLUXNET2015
US-UMB,Univ. of Mich. Biological Station,45.5598,-84.7138,234,DBF,5.83,803,FLUXNET2015
US-UMd,UMBS Disturbance,45.5625,-84.6975,239,DBF,5.83,803,FLUXNET2015
US-Var,Vaira Ranch- Ione,38.4133,-120.9508,129,GRA,15.8,559,FLUXNET2015
US-WCr,Willow Creek,45.8059,-90.0799,520,DBF,4.02,787,FLUXNET2015
US-WPT,Winous Point North Marsh,41.4646,-82.9962,175,WET,10.1,849,FLUXNET2015
US-Whs,Walnut Gulch Lucky Hills Shrub,31.7438,-110.0522,1370,OSH,17.6,320,FLUXNET2015
US-Wi0,Young red pine (YRP),46.6188,-91.0814,349,ENF,NA,NA,FLUXNET2015
US-Wi1,Intermediate hardwood (IHW),46.7305,-91.2329,352,DBF,NA,NA,FLUXNET2015
US-Wi2,Intermediate red pine (IRP),46.6869,-91.1528,395,ENF,NA,NA,FLUXNET2015
US-Wi3,Mature hardwood (MHW),46.6347,-91.0987,411,DBF,NA,NA,FLUXNET2015
US-Wi4,Mature red pine (MRP),46.7393,-91.1663,352,ENF,NA,NA,FLUXNET2015
US-Wi5,Mixed young jack pine (MYJP),46.6531,-91.0858,353,ENF,NA,NA,FLUXNET2015
US-Wi6,Pine barrens #1 (PB1),46.6249,-91.2982,371,OSH,NA,NA,FLUXNET2015
US-Wi7,Red pine clearcut (RPCC),46.6491,-91.0693,335,OSH,NA,NA,FLUXNET2015
US-Wi8,Young hardwood clearcut (YHW),46.7223,-91.2524,348,DBF,NA,NA,FLUXNET2015
US-Wi9,Young Jack pine (YJP),46.7385,-91.0746,350,ENF,NA,NA,FLUXNET2015
US-Wkg,Walnut Gulch Kendall Grasslands,31.7365,-109.9419,1531,GRA,15.64,407,FLUXNET2015
ZA-Kru,Skukuza,-25.0197,31.4969,359,SAV,21.9,547,FLUXNET2015
ZM-Mon,Mongu,-15.4391,23.2525,1053,DBF,25,945,FLUXNET2015
