site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30,biomass_bin_12,biomass_bin_18,biomass_bin_20
US-Ro3,44.7217,-93.0893,2,1,0–5 Mg/ha,exact,1,1,1,1
US-Ro4,44.6781,-93.0723,14,3,13.0–27.0 Mg/ha,exact,7,4,5,5
US-Ro5,44.691,-93.0576,6,2,5–13.0 Mg/ha,exact,2,2,2,2
US-Ro6,44.6946,-93.0578,6,2,5–13.0 Mg/ha,exact,2,2,2,2
US-Rpf,65.1198,-147.429,59,5,51.0–94.0 Mg/ha,exact,17,7,11,12
US-RRC,37.3344,-77.2065,100,6,94.0–171.0 Mg/ha,exact,21,9,13,15
US-Rwe,43.0653,-116.7591,7,2,5–13.0 Mg/ha,exact,3,2,2,3
US-Rwf,43.1207,-116.7231,5,2,5–13.0 Mg/ha,exact,2,2,2,2
US-Rws,43.1675,-116.7132,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Sag,69.5131,-148.5676,1,1,0–5 Mg/ha,exact,1,1,1,1
US-SD1,41.2048,-86.0296,1,1,0–5 Mg/ha,exact,1,1,1,1
US-SD2,41.1785,-85.9977,13,3,13.0–27.0 Mg/ha,exact,7,3,4,5
US-Seg,34.3603,-106.7003,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Ses,34.335,-106.7448,5,2,5–13.0 Mg/ha,exact,2,2,2,2
US-SHC,39.4315,-120.2398,76,5,51.0–94.0 Mg/ha,exact,19,8,12,13
US-Slt,39.9138,-74.596,69,5,51.0–94.0 Mg/ha,exact,18,8,11,13
US-Sne,38.0369,-121.7547,3,1,0–5 Mg/ha,exact,1,1,1,1
US-Snf,38.0402,-121.7272,0,1,0–5 Mg/ha,exact,1,1,1,1
US-SP1,29.7381,-82.2188,60,5,51.0–94.0 Mg/ha,exact,17,7,11,12
US-SRC,31.9083,-110.8395,0,1,0–5 Mg/ha,exact,1,1,1,1
US-SRG,31.7894,-110.8277,1,1,0–5 Mg/ha,exact,1,1,1,1
US-SRM,31.8214,-110.8661,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Srr,38.2006,-122.0264,4,1,0–5 Mg/ha,exact,1,1,1,1
US-SRS,31.8173,-110.8508,0,1,0–5 Mg/ha,exact,1,1,1,1
US-SSH,40.6658,-77.9041,166,6,94.0–171.0 Mg/ha,exact,25,11,16,17
US-Sta,41.3966,-106.8024,0,1,0–5 Mg/ha,exact,1,1,1,1
