site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code,kg_class,kg_second,kg_main,mat_worldclim,map_worldclim,aridity_index,aridity_class
US-RC2,AmeriFlux;LTAR,CRO,Northern America,Americas,2012,2016,4,3,75,FALSE,Temperate desert,34,Dsb,Ds,D,8.233333587646484,611,0.6109,Dry sub-humid
US-RC4,AmeriFlux,CRO,Northern America,Americas,2012,2016,4,3,75,FALSE,Temperate mountain system,35,Dsb,Ds,D,8.036166191101074,678,0.6902,Humid
US-RGo,AmeriFlux;Phenocam,CRO,Northern America,Americas,2021,2024,3,3,100,FALSE,Subtropical dry forest,22,Csa,Cs,C,16.048999786376953,560,0.3599,Semi-arid
US-Ro2,AmeriFlux;Phenocam,CRO,Northern America,Americas,2008,2016,8,3,37.5,FALSE,Temperate steppe,33,Dfa,Df,D,7.046999931335449,768,0.8321,Humid
US-Ro3,AmeriFlux,CRO,Northern America,Americas,2004,2007,3,3,100,FALSE,Temperate steppe,33,Dfa,Df,D,7.046999931335449,768,0.8273,Humid
US-Rwe,AmeriFlux,CSH,Northern America,Americas,2003,2007,4,3,75,FALSE,Temperate desert,34,Bsh,Bs,B,4.895166873931885,463,0.4249,Semi-arid
US-SSH,AmeriFlux;Phenocam,DBF,Northern America,Americas,2016,2021,5,3,60,FALSE,Temperate mountain system,35,Dfb,Df,D,9.743499755859377,989,1.0366,Humid
US-WPT,AmeriFlux,WET,Northern America,Americas,2011,2013,2,3,150,FALSE,Temperate continental forest,32,Dfa,Df,D,9.912333488464355,882,0.8747,Humid
US-xAB,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate mountain system,35,Csb,Cs,C,9.129833221435549,2372,2.6287,Humid
US-xCP,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate steppe,33,BSk,BS,B,9.084333419799805,367,0.2486,Semi-arid
US-xGR,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate mountain system,35,Cfa,Cf,C,12.971500396728516,1367,1.2796,Humid
US-xSR,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,3,60,FALSE,Subtropical desert,24,BSk,BS,B,19.157499313354492,395,0.1857,Arid
US-xYE,AmeriFlux;NEON,ENF,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate mountain system,35,Dfc,Df,D,1.496000051498413,590,0.5682,Dry sub-humid
BR-Npw,AmeriFlux,WSA,Latin America and the Caribbean,Americas,2013,2017,4,2,50,FALSE,Tropical moist forest,12,Aw,Aw,A,25.245332717895508,1320,0.9944,Humid
CA-EM1,AmeriFlux,WET,Northern America,Americas,2021,2023,2,2,100,FALSE,Temperate steppe,33,Dfb,Df,D,1.0158334970474243,480,0.6687,Humid
