site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label,trendy_nee_median_bin_30
US-PFc,45.9677,-90.3088,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFd,45.9689,-90.301,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFf,45.9458,-90.2944,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFg,45.9735,-90.2723,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFh,45.9557,-90.2406,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFi,45.9749,-90.2327,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFj,45.9619,-90.227,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFk,45.9149,-90.3425,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFL,45.9409,-90.3177,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFm,45.9207,-90.3099,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFn,45.9392,-90.2823,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFp,45.9365,-90.2641,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFq,45.9271,-90.2475,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFr,45.9245,-90.2475,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFt,45.9197,-90.2288,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PLo,42.7496,-70.9157,52.21377182006836,exact,5,41.8–54.3 gC m-2 yr-1,20
US-Prr,65.1237,-147.4876,31.61534118652344,exact,3,20.5–31.7 gC m-2 yr-1,11
US-PSH,36.2347,-119.9247,27.385072708129883,exact,3,20.5–31.7 gC m-2 yr-1,9
US-PSL,36.8276,-120.1397,26.512283325195312,exact,3,20.5–31.7 gC m-2 yr-1,9
US-RC1,46.7837,-117.0777,34.60606002807617,exact,4,31.7–41.8 gC m-2 yr-1,13
US-RC2,46.7776,-117.0807,34.60606002807617,exact,4,31.7–41.8 gC m-2 yr-1,13
US-RC3,46.991,-118.598,24.3714656829834,exact,3,20.5–31.7 gC m-2 yr-1,8
US-RC4,46.758,-116.949,38.57835006713867,exact,4,31.7–41.8 gC m-2 yr-1,14
US-RC5,47.01,-119.248,21.083730697631836,exact,3,20.5–31.7 gC m-2 yr-1,6
US-RGA,34.4159,-91.6733,62.92298889160156,exact,6,54.3–70.2 gC m-2 yr-1,24
US-RGB,39.5782,-121.8579,36.21014404296875,exact,4,31.7–41.8 gC m-2 yr-1,13
US-RGF,37.6995,-121.1369,28.982013702392575,exact,3,20.5–31.7 gC m-2 yr-1,10
