site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_main,koppen_main_name,koppen_method
RU-Ha3,54.704551696777344,89.077850341796875,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
RU-Zot,60.80080032348633,89.350799560546875,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
SE-Abi,68.36238861083984,18.794750213623047,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
SE-Deg,64.18329620361328,19.549999237060547,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
SE-Faj,56.265499114990234,13.553500175476074,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
SE-Fla,64.11280059814453,19.456899642944336,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
SE-Nor,60.08649826049805,17.479503631591797,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
SE-Sk1,60.125,17.918100357055664,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
SE-Sk2,60.129669189453125,17.840059280395508,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
SE-St1,68.36669921875,19.049694061279297,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
SK-Tat,49.12080001831055,20.16349983215332,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
TW-Tar,24.031200408935547,120.68800354003906,2,Am,"Tropical, monsoon",A,Tropical,exact
UK-AMo,55.79169845581055,-3.2388899326324463,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
UK-EBu,55.86600112915039,-3.205780029296875,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
UK-ESa,55.90694046020508,-2.858609914779663,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
UK-Gri,56.60721969604492,-3.7980599403381343,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
UK-Ham,51.153533935546875,-0.858299970626831,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
UK-Her,51.78379821777344,-0.4760800004005432,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
UK-PL3,51.45000076293945,-1.266669988632202,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
UK-Tad,51.20709991455078,-2.8286399841308594,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
US-ARb,35.54970169067383,-98.04019927978516,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-ARc,35.54648971557617,-98.04000091552734,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-ARM,36.60580062866211,-97.488800048828125,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Atq,70.46959686279297,-157.40899658203125,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
US-Aud,31.590700149536133,-110.51000213623048,6,BSh,"Arid, steppe, hot",B,Arid,exact
US-Bar,44.06460189819336,-71.28807830810547,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Bkg,44.34529876708984,-96.83619689941406,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Blo,38.89519882202149,-120.63275146484376,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-Bn1,63.9197998046875,-145.3780059814453,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-Bn2,63.9197998046875,-145.3780059814453,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-Bn3,63.922698974609375,-145.74400329589844,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-Bo1,40.00619888305664,-88.29039764404297,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Bo2,40.00899887084961,-88.29000091552734,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Brw,71.32250213623047,-156.6259002685547,29,ET,"Polar, tundra",E,Polar,exact
US-CaV,39.06330108642578,-79.4207992553711,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Dk1,35.97119903564453,-79.09339904785156,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Dk2,35.97359848022461,-79.10040283203125,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Dk3,35.97819900512695,-79.09420013427734,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Fmf,35.142601013183594,-111.72730255126952,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-FPe,48.30770111083984,-105.10189819335938,7,BSk,"Arid, steppe, cold",B,Arid,exact
US-FR2,29.949499130249023,-97.99620056152344,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Fuf,35.0890007019043,-111.76200103759766,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-Fwf,35.44540023803711,-111.77179718017578,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-Goo,34.25469970703125,-89.87349700927734,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Ha1,42.53779983520508,-72.17150115966797,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Ha2,42.53929901123047,-72.17790222167969,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Ho1,45.2041015625,-68.74019622802734,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Ho2,45.20909881591797,-68.74700164794922,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-IB1,41.85929870605469,-88.22270202636719,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-IB2,41.840599060058594,-88.240997314453125,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Ivo,68.48650360107422,-155.75,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
US-KS1,28.45829963684082,-80.6708984375,2,Am,"Tropical, monsoon",A,Tropical,exact
US-KS2,28.60860061645508,-80.67150115966797,2,Am,"Tropical, monsoon",A,Tropical,exact
US-Los,46.08269882202149,-89.97920227050781,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-LPH,42.541900634765625,-72.18499755859375,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Me1,44.57939910888672,-121.5,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-Me2,44.452301025390625,-121.55740356445312,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-Me3,44.315399169921875,-121.60780334472656,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-Me4,44.49919891357422,-121.62239837646484,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-MMS,39.32310104370117,-86.41310119628906,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-MOz,38.74409866333008,-92.1999969482422,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-NC1,35.811500549316406,-76.71150207519531,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-NC2,35.8031005859375,-76.66790008544922,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Ne1,41.16510009765625,-96.47660064697266,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Ne2,41.16490173339844,-96.47010040283205,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Ne3,41.1796989440918,-96.439697265625,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-NR1,40.032901763916016,-105.5459976196289,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-Oho,41.554500579833984,-83.84380340576172,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-PFa,45.945899963378906,-90.27230072021484,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-SO2,33.3739013671875,-116.62288665771484,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-SO3,33.377201080322266,-116.62268829345705,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-SO4,33.3843994140625,-116.64025115966795,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-SP1,29.738100051879883,-82.21880340576172,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-SP2,29.764799118041992,-82.24479675292969,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-SP3,29.75480079650879,-82.163299560546875,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-SP4,29.802799224853516,-82.2031021118164,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-SRM,31.821399688720703,-110.86599731445312,6,BSh,"Arid, steppe, hot",B,Arid,exact
US-Syv,46.242000579833984,-89.34770202636719,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Ton,38.43159866333008,-120.96600341796876,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
