site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee
US-BZF,WET,64.7013,-148.3121,10,10,10,10,11,-71.5795,446.927,485.803,307.1346640163265,1.19869,VUT,VUT,VUT,NT,NT,1
US-BZo,WET,64.6936,-148.33,6,5,5,6,6,44.441900000000004,489.031,419.677,281.5189092734694,7.918355,VUT,VUT,VUT,NT,NT,1
US-CAK,GRA,64.8618,-163.7002,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-CdM,WSA,37.5241,-109.7471,4,4,4,5,5,143.5195,391.7395,249.1825,341.6979644081633,49.8647,VUT,VUT,VUT,NT,NT,1
US-Ced,CSH,39.8379,-74.3791,9,9,9,9,9,120.15,1599.44,1475.33,708.3509060571429,39.0871,VUT,VUT,VUT,NT,NT,1
US-CF1,CRO,46.7815,-117.0821,3,3,3,3,3,205.988,926.867,711.222,433.58854334693876,16.2473,VUT,VUT,VUT,NT,NT,1
US-CF2,CRO,46.784,-117.0908,2,2,2,2,2,180.62650000000002,860.3725,640.7855,446.4711285061224,12.2599,VUT,VUT,VUT,NT,NT,1
US-CF3,CRO,46.7551,-117.1261,1,1,1,1,1,220.684,1012.19,781.896,436.2084681795919,11.9093,VUT,VUT,VUT,NT,NT,1
US-CF4,CRO,46.7518,-117.1285,0,0,0,1,1,NA,NA,NA,453.9064854857143,10.8967,NA,NA,NA,NA,NA,NA
US-CGG,GRA,37.938,-121.9761,2,2,2,3,3,101.11715,915.639,837.664,367.39744339591834,47.5523,VUT,VUT,VUT,NT,NT,1
US-ChR,DBF,35.9311,-84.3324,12,12,12,12,13,805.7909999999999,1549.195,999.688,684.7103994612245,29.1218,VUT,VUT,VUT,NT,NT,1
US-CLF,CVM,40.6366,-77.9424,0,0,0,0,1,NA,NA,NA,NA,10.3157,NA,NA,NA,NA,NA,NA
US-Cms,WET,71.3202,-156.6223,1,1,1,1,1,147.48,301.497,156.047,111.22559844244898,9.68774,VUT,VUT,VUT,NT,NT,1
US-CMW,DBF,31.6637,-110.1777,19,19,19,19,19,287.339,1002.39,735.491,667.3247379918369,63.9544,VUT,VUT,VUT,NT,NT,1
US-Cop,GRA,38.09,-109.39,2,2,2,1,2,23.6426,79.53,59.680350000000004,129.57808173061224,45.049099999999996,BOTH,BOTH,BOTH,NT,NT,0.5
US-CRK,ENF,31.4629,-95.3415,2,2,2,2,1,77.55675,1940.4899999999998,1842.875,854.0394646040817,38.8208,VUT,VUT,VUT,NT,NT,1
US-CRT,CRO,41.6285,-83.3471,3,3,3,3,3,95.7867,930.673,922.053,722.5582663836735,15.7999,VUT,VUT,VUT,NT,NT,1
US-CS1,CRO,44.1031,-89.5379,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-CS2,ENF,44.1467,-89.5002,1,1,1,1,1,663.484,2164.1,1485.6,571.4488849959183,27.6526,CUT,CUT,CUT,NT,NT,0
US-CS3,CRO,44.1394,-89.5727,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-CS4,CRO,44.1597,-89.5475,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-CS5,CRO,44.1095,-89.5377,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-CS6,CRO,44.4297,-89.544,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-CS8,CRO,44.4338,-89.5364,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Cst,ENF,33.0442,-91.9204,1,1,1,2,2,502.609,2296.66,1842.01,779.2363600163266,31.115899999999996,VUT,VUT,VUT,NT,NT,1
US-Cwt,DBF,35.0592,-83.4275,9,1,1,9,12,-384.945,2126.68,2366.42,726.6182482285715,20.39665,CUT,CUT,CUT,NT,NT,0
US-DFC,CRO,43.3448,-89.7117,3,3,3,4,4,608.32,1593.82,1073.16,638.3619455510204,10.150179999999999,VUT,VUT,VUT,NT,NT,1
US-DFK,CRO,43.3453,-89.7154,1,1,1,0,1,688.193,2028.74,1354.11,NA,7.50652,VUT,VUT,VUT,NT,NT,1
US-Dix,MF,39.9712,-74.4346,3,3,3,2,3,-46.2801,1026.53,1060.97,414.48331469387756,50.9898,VUT,VUT,VUT,NT,NT,1
US-Dk1,GRA,35.9712,-79.0934,5,4,4,5,5,-57.5398,1278.525,1272.8000000000002,654.2766364408163,21.0637,VUT,VUT,VUT,NT,NT,1
US-Dk2,DBF,35.9736,-79.1004,7,7,7,7,7,948.503,1877.76,993.987,693.4222291591836,23.6325,VUT,VUT,VUT,NT,NT,1
US-Dk3,ENF,35.9782,-79.0942,6,6,6,6,6,1073.55,2254.135,1024.885,807.3033030367346,24.3767,VUT,VUT,VUT,NT,NT,1
US-Dmg,WET,38.0015,-121.6691,4,4,4,4,4,716.827,1871.985,1174.62,1221.740247379592,16.72455,VUT,VUT,VUT,NT,NT,1
US-DPW,WET,28.0521,-81.4361,2,2,2,3,3,166.8645,1150.7649999999999,945.2495,1043.9228318693877,26.0376,VUT,VUT,VUT,NT,NT,1
US-DS1,CRO,38.1335,-121.539,1,1,1,1,1,-177.57,2548.25,2793.53,821.4262950857143,30.3509,VUT,VUT,VUT,NT,NT,1
US-DS2,CRO,38.1375,-121.514,2,2,2,2,2,-831.117,2521.7200000000003,3327.23,811.977048,35.61935,BOTH,BOTH,BOTH,NT,NT,0.5
US-DS3,CRO,38.1235,-121.549,3,3,3,3,3,-145.208,1537.51,1643.82,1103.9003047836736,14.4675,VUT,VUT,VUT,NT,NT,1
US-EA4,MF,29.6633,-98.3816,1,1,1,1,1,-48.133,925.65,963.456,482.20656832653066,50.4743,CUT,CUT,CUT,NT,NT,0
US-EA5,CSH,29.3584,-99.9576,1,1,1,1,1,88.08,959.089,865.369,401.4886678530612,54.628,VUT,VUT,VUT,NT,NT,1
US-EA6,WSA,29.6561,-99.9588,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-EDN,WET,37.6156,-122.114,3,3,3,4,5,485.516,855.362,366.556,1003.6501820081633,39.6752,VUT,VUT,VUT,NT,NT,1
US-EKH,WET,36.8094,-121.7523,2,2,2,2,2,186.802,550.1085,364.1865,553.4926105959183,41.54205,VUT,VUT,VUT,DT,DT,1
US-EKN,WET,36.8357,-121.7328,1,1,1,1,1,223.54,313.107,133.888,829.3582012408164,26.2835,VUT,VUT,VUT,DT,DT,1
US-EKP,WET,36.8558,-121.7488,1,1,1,1,1,109.061,1417.44,1379.91,609.9156672979592,57.3783,VUT,VUT,VUT,NT,NT,1
US-Elm,WET,25.5519,-80.7826,11,11,11,10,10,13.0015,458.898,410.302,1178.770388767347,15.487400000000001,VUT,VUT,VUT,NT,NT,1
US-EML,OSH,63.8784,-149.2536,5,5,5,5,6,56.6147,396.529,408.61,255.77112783673468,5.19285,VUT,VUT,VUT,NT,NT,1
US-Esm,WET,25.4379,-80.5946,12,12,12,11,11,104.06360000000001,453.5655,337.6375,1111.440639085714,28.621,VUT,VUT,VUT,NT,NT,1
US-EvM,WET,25.3539,-80.381,2,2,2,2,2,79.73235,252.7185,181.4345,1332.8944870040818,20.6877,VUT,VUT,VUT,NT,NT,1
US-Fcr,OSH,65.3968,-148.9348,1,1,1,1,1,-78.6753,226.89,306.862,187.08633345306123,12.2511,VUT,VUT,VUT,NT,NT,1
US-Fmf,ENF,35.1426,-111.7273,5,5,5,5,5,-10.1019,992.781,1060.4,452.03879079183673,54.9775,VUT,VUT,VUT,NT,NT,1
US-Fo1,WET,70.085,-148.5671,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Fo2,WET,70.0229,-148.6598,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Fuf,ENF,35.089,-111.762,4,4,4,4,4,81.6968,1001.8285000000001,947.596,513.389341322449,66.1134,VUT,VUT,VUT,NT,NT,1
