site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code
BR-Sa1,AmeriFlux;LBA,EBF,Latin America and the Caribbean,Americas,2002,2011,9,7,77.8,FALSE,Tropical rainforest,11
CA-Qfo,AmeriFlux;Fluxnet-Canada;Phenocam,ENF,Northern America,Americas,2003,2010,7,7,100,FALSE,Boreal coniferous forest,41
CL-SDP,AmeriFlux,WET,Latin America and the Caribbean,Americas,2014,2021,7,7,100,FALSE,Temperate oceanic forest,31
US-Bi2,AmeriFlux;Phenocam,CRO,Northern America,Americas,2017,2025,8,7,87.5,FALSE,Subtropical dry forest,22
US-Dk2,AmeriFlux;Phenocam,DBF,Northern America,Americas,2001,2008,7,7,100,FALSE,Subtropical humid forest,21
US-MN1,AmeriFlux,CRO,Northern America,Americas,2017,2024,7,7,100,FALSE,Temperate steppe,33
US-MN2,AmeriFlux,CRO,Northern America,Americas,2017,2024,7,7,100,FALSE,Temperate steppe,33
US-Mo3,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2016,2023,7,7,100,FALSE,Temperate steppe,33
US-NC1,AmeriFlux;USCCC,ENF,Northern America,Americas,2005,2012,7,7,100,FALSE,Subtropical humid forest,21
US-Rls,AmeriFlux;LTAR;Phenocam,CSH,Northern America,Americas,2014,2023,9,7,77.8,FALSE,Temperate desert,34
US-Rms,AmeriFlux;LTAR;Phenocam,CSH,Northern America,Americas,2014,2023,9,7,77.8,FALSE,Temperate desert,34
US-SRS,AmeriFlux,WSA,Northern America,Americas,2011,2018,7,7,100,FALSE,Subtropical desert,24
US-Twt,AmeriFlux;Phenocam,CRO,Northern America,Americas,2009,2017,8,7,87.5,FALSE,Subtropical dry forest,22
CA-ARF,AmeriFlux,WET,Northern America,Americas,2011,2024,13,6,46.2,FALSE,Boreal tundra woodland,42
US-BZo,AmeriFlux,WET,Northern America,Americas,2018,2025,7,6,85.7,FALSE,Boreal tundra woodland,42
US-Dk1,AmeriFlux,GRA,Northern America,Americas,2001,2008,7,6,85.7,FALSE,Subtropical humid forest,21
US-Dk3,AmeriFlux,ENF,Northern America,Americas,2001,2008,7,6,85.7,FALSE,Subtropical humid forest,21
US-HB1,AmeriFlux;Phenocam,WET,Northern America,Americas,2018,2024,6,6,100,FALSE,Subtropical humid forest,21
US-HB2,AmeriFlux;Phenocam,ENF,Northern America,Americas,2018,2024,6,6,100,FALSE,Subtropical humid forest,21
US-HB3,AmeriFlux;Phenocam,ENF,Northern America,Americas,2019,2024,5,6,120,FALSE,Subtropical humid forest,21
