site_id,year,n_months_present,has_data
AU-Sam,2011,8,TRUE
AU-Sam,2012,12,TRUE
AU-Sam,2013,12,TRUE
AU-Sam,2014,12,TRUE
AU-Sam,2015,12,TRUE
AU-Sam,2016,12,TRUE
AU-Sam,2017,12,TRUE
AU-Sil,2019,1,TRUE
AU-Sil,2020,12,TRUE
AU-Sil,2021,12,TRUE
AU-Sil,2022,12,TRUE
AU-Sil,2023,12,TRUE
AU-Sil,2024,12,TRUE
AU-Sno,2024,12,TRUE
AU-Sno,2025,7,TRUE
AU-Stp,2008,4,TRUE
AU-Stp,2009,9,TRUE
AU-Stp,2010,12,TRUE
AU-Stp,2011,12,TRUE
AU-Stp,2012,12,TRUE
AU-Stp,2013,11,TRUE
AU-Stp,2014,12,TRUE
AU-Stp,2015,12,TRUE
AU-Stp,2016,12,TRUE
AU-Stp,2017,12,TRUE
AU-Stp,2018,12,TRUE
AU-Stp,2019,12,TRUE
AU-Stp,2020,12,TRUE
AU-Stp,2021,12,TRUE
AU-Stp,2022,12,TRUE
AU-Stp,2023,12,TRUE
