site_id,location_lat,location_long,ai_value,unep_class,aridity_method
ZA-BfS,-28.8906,24.86112,0.233,Semi-Arid,exact
ZA-BfK,-28.856483,24.83985,0.2346,Semi-Arid,exact
KR-WdE,34.35956,126.67779,1.5699,Humid,exact
KR-UAO,36.41682,128.79904,1.2242,Humid,exact
KR-TwC,37.30493,127.31743,1.53,Humid,exact
KR-TwB,37.30406,127.31395,1.5450000000000002,Humid,exact
KR-SmM,37.93894,126.95471,1.5470000000000002,Humid,exact
KR-ScC,37.22141,129.29863,1.2958,Humid,exact
KR-PcD,37.48184,128.51604,1.7165000000000001,Humid,exact
KR-Nj2,35.0269,126.8219,1.3092000000000001,Humid,exact
KR-Nj1,35.02753,126.82093,1.3092000000000001,Humid,exact
KR-Kw2,37.74869,127.14888,1.5624,Humid,exact
KR-Kw1,37.74843,127.16261,1.5592000000000001,Humid,exact
KR-JjM,33.31798,126.56772,2.1715,Humid,exact
KR-Hnm,34.5538,126.56992,1.2551,Humid,exact
KR-HcM,37.61938,127.84571,1.603,Humid,exact
KR-HPK,34.47722,126.48105,1.2716,Humid,exact
KR-GmS,35.75089,126.81378,1.1413,Humid,exact
KR-GmR,35.74862,126.86432,1.155,Humid,exact
KR-GmP,35.74502,126.85222,1.1566,Humid,exact
KR-CmF,37.1599,127.65365,1.4999,Humid,exact
KR-CRK,38.2013,127.2497,1.5444,Humid,exact
KR-AdC,36.50565,126.35909,1.2197,Humid,exact
TH-Mae,18.42264,99.72025,0.7922,Humid,exact
TH-Kog,18.81267,98.90225,0.8367,Humid,exact
RU-Tur,64.208885,100.463554,0.7706000000000001,Humid,exact
RU-SkP,62.25471,129.61855,0.4484,Semi-Arid,exact
RU-Sk2,62.241356,129.65047,0.4309,Semi-Arid,exact
RU-NeF,62.315617,129.49997,0.4592,Semi-Arid,exact
RU-NeC,62.314842,129.50008,0.4572,Semi-Arid,exact
RU-NeB,62.325935,129.48734,0.4635,Semi-Arid,exact
RU-Ege,60.015514,133.824,0.6077,Dry Sub-Humid,exact
MY-LHP,4.201007,114.03908,2.2873,Humid,exact
MN-Udg,48.25649,106.85116,0.36260000000000003,Semi-Arid,exact
MN-Nkh,47.693592,107.48934,0.3342,Semi-Arid,exact
MN-Kbu,47.21397,108.737335,0.2716,Semi-Arid,exact
MN-Hst,47.59293,105.85497,0.26990000000000003,Semi-Arid,exact
KH-Kmp,12.744579,105.47857,1.1001,Humid,exact
JP-Ynf,26.751,128.21266,1.6116000000000001,Humid,exact
JP-Yms,34.79028,135.84094,1.4419,Humid,exact
JP-Toc,42.70973,141.5659,1.8694000000000002,Humid,exact
JP-Tmk,42.739307,141.51483,1.9005,Humid,exact
JP-Tmd,42.735912,141.52315,1.8952,Humid,exact
JP-Tkb,36.173378,140.17664,1.5463,Humid,exact
JP-Tgf,36.11353,140.09488,1.3859000000000001,Humid,exact
JP-Tef,45.05581,142.10712,1.7323000000000002,Humid,exact
JP-Tak,36.146168,137.42311,2.2982,Humid,exact
JP-Ta2,36.140038,137.37071,2.0335,Humid,exact
JP-Srk,40.565483,140.12779,1.9879,Humid,exact
JP-Spp,42.986843,141.38533,1.5962,Humid,exact
JP-Shn,35.865753,137.93256,1.4158000000000002,Humid,exact
JP-Sb2,45.10339,141.6808,1.5938,Humid,exact
JP-Sb1,45.104702,141.68797,1.5949,Humid,exact
