site_id,igbp,region,network,location_lat,location_long,has_badm_record,has_dom_dist_mgmt,dom_dist_mgmt_values,has_site_desc,mgmt_harvest,mgmt_tillage,mgmt_fertilization,mgmt_grazing,mgmt_irrigation,mgmt_thinning,mgmt_burning,mgmt_drainage_wtd,mgmt_forestry_unspecified,mgmt_other,any_management,wtd_group_present
CA-Cbo,DBF,N. America,AmeriFlux;Fluxnet-Canada,44.3184,-79.9341,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-DB2,WET,N. America,AmeriFlux,49.119,-122.9951,TRUE,TRUE,Hydrologic event,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-DBB,WET,N. America,AmeriFlux,49.1293,-122.9849,TRUE,TRUE,Hydrologic event,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
CA-DSM,WET,N. America,AmeriFlux,49.0887,-122.8954,TRUE,TRUE,Land cover change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
CA-EM1,WET,N. America,AmeriFlux,50.3623,-100.2024,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-EM2,WET,N. America,AmeriFlux,50.3706,-100.5339,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-Gro,MF,N. America,AmeriFlux;Fluxnet-Canada;Phenocam,48.2167,-82.1556,TRUE,TRUE,Forestry,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
CA-HPC,ENF,N. America,AmeriFlux,68.3203,-133.5188,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-KLP,WET,N. America,AmeriFlux,51.5902,-81.7684,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-LP1,ENF,N. America,AmeriFlux,55.1119,-122.8414,TRUE,TRUE,Land cover change; Pests and disease,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
CA-LU1,OSH,N. America,AmeriFlux,59.5951,-117.2862,TRUE,TRUE,Fire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-LU2,OSH,N. America,AmeriFlux,59.4405,-117.2422,TRUE,TRUE,Fire,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-MA1,CRO,N. America,AmeriFlux,50.1645,-97.8762,TRUE,TRUE,Agriculture,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-MA2,CRO,N. America,AmeriFlux,50.171,-97.8762,TRUE,TRUE,Agriculture,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-MA3,GRA,N. America,AmeriFlux,50.1774,-97.8686,TRUE,TRUE,Grazing,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-Man,ENF,N. America,AmeriFlux;Fluxnet-Canada,55.8796,-98.4808,TRUE,TRUE,Fire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
CA-Mer,WET,N. America,AmeriFlux;Fluxnet-Canada;Phenocam,45.4094,-75.5186,TRUE,TRUE,Undisturbed,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-Mtk,GRA,N. America,AmeriFlux,72.6695,-77.9981,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-Na1,ENF,N. America,AmeriFlux;Fluxnet-Canada,46.4722,-67.1,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-Ojp,ENF,N. America,AmeriFlux;Fluxnet-Canada,53.9163,-104.692,TRUE,TRUE,Fire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-PB1,WET,N. America,AmeriFlux,54.9417,-83.4579,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-PB2,WET,N. America,AmeriFlux,54.9389,-83.4736,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-Qc2,MF,N. America,AmeriFlux;Fluxnet-Canada,49.7598,-74.5711,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-Qfo,ENF,N. America,AmeriFlux;Fluxnet-Canada;Phenocam,49.6925,-74.3421,TRUE,TRUE,Fire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-RBM,WET,N. America,AmeriFlux,49.1313,-123.1964,TRUE,TRUE,Land cover change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
CA-SCB,WET,N. America,AmeriFlux,61.3089,-121.2984,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-SCC,ENF,N. America,AmeriFlux,61.3079,-121.2992,TRUE,TRUE,Fire; Land cover change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-SF1,ENF,N. America,AmeriFlux;Fluxnet-Canada,54.485,-105.8176,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-SF2,ENF,N. America,AmeriFlux;Fluxnet-Canada,54.2539,-105.8775,TRUE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-SF3,OSH,N. America,AmeriFlux;Fluxnet-Canada,54.0916,-106.0053,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-SJ2,ENF,N. America,AmeriFlux;Fluxnet-Canada,53.945,-104.649,TRUE,TRUE,Fire; Forestry,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
