site_id,data_hub,network,oneflux_code_version_manifest,release_version,product_id,location_lat,location_long,igbp,p_era_mean_mm,p_era_sd_mm,n_years_era_full_record,p_era_cv,p_measured_mean_mm,n_years_measured,n_years_fm_total,bio12_mm,badm_map_mm,elevation_m,oneflux_code_version,frac_measured,record_length_years,log_ratio_era_bio12,log_ratio_measured_bio12,log_ratio_era_measured,log_ratio_badm_bio12
BR-CST,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/1902820,-7.9682,-38.3842,DNF,709.7784772727273,385.04634040638314,44,0.5424880476594557,435.121,2,2,745,642,468,1.3.2-rc,1,2,-0.021033446718695392,-0.2335462288395445,0.21251278212084906,-0.06462124467943954
BR-ITA,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/3027371,-23.0604,-48.6467,EBF,2448.702711111111,428.92447764091094,45,0.1751639656764558,2014.932,4,5,1279,1447,820,1.3.5-rc,0.8,5,0.2820655175912936,0.19738984965947298,0.08467566793182063,0.05359798664038355
BR-Ji3,AmeriFlux,AmeriFlux;LBA,v1.3,r1,10.17190/AMF/3027314,-10.1866,-61.8725,EBF,6837.501977777778,631.9285313703488,45,0.09242096505772839,NA,NA,7,2083,NA,160,1.3.5-rc,NA,7,0.516208195015365,NA,NA,NA
BR-Ma2,AmeriFlux,AmeriFlux;LBA,v1.3,r1,10.17190/AMF/3027671,-2.6091,-60.2093,EBF,2464.4067777777777,248.1647194289867,45,0.10069957673658224,2557.826882352941,17,18,2352,2252,130,1.3.5-rc,0.9444444444444444,18,0.020275077144896778,0.036433830016459993,-0.016158752871563205,-0.018868931224792256
BR-Ma3,AmeriFlux,AmeriFlux;LBA,v1.3,r1,10.17190/AMF/3027359,-2.3907,-59.8835,CVM,2111.7150666666666,220.22408430458034,45,0.10428683669535167,2119.054909090909,11,11,2395,2792,147,1.3.5-rc,1,11,-0.0546701992119348,-0.053163307426655516,-0.0015068917852792746,0.06660989620054146
BR-Npw,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/1881563,-16.498,-56.412,WSA,1441.5146444444445,270.34938120119807,45,0.18754535879542863,1381.48,2,5,1320,1486,120,1.3.5-rc,0.4,5,0.03824512756770507,0.01977067071225278,0.018474456855452303,0.05144487821870661
BR-SM1,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/3027374,-30.2771,-53.1479,CRO,5661.379644444444,1144.2155733293316,45,0.20210896374917361,NA,NA,2,1473,1700,40.5,1.3.5-rc,NA,2,0.5847195322177187,NA,NA,0.062246174535643004
BR-Sa1,AmeriFlux,AmeriFlux;LBA,v1.3,r1,10.17190/AMF/3027310,-2.8567,-54.9589,EBF,2010.0153555555555,353.8845770570191,45,0.17606063360605903,2106.2728,5,10,1868,2074.79,88,1.3.5-rc,0.5,10,0.03182250334112617,0.052137747501443295,-0.020315244160317093,0.045597274235220545
BR-Sa3,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/3027311,-3.018,-54.9714,EBF,1458.9161555555556,260.1134977236734,45,0.1782922868686872,1562.6875,4,5,1852,2043.77,100,1.3.5-rc,0.8,5,-0.10361064879782356,-0.07376884411864444,-0.029841804679179157,0.04279103761423221
BR-Xpw,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/3365275,-16.373,-56.461,GRA,1437.145511111111,279.89458082493246,45,0.19475730095593136,1079.481,5,6,1341,1490,124,1.3.5-rc,0.8333333333333334,6,0.03007196486388632,-0.0942137751533494,0.1242857400172358,0.04575749056067514
BW-Gum,ICOS,Unaffiliated,v1.3,r1,4tYejpkp-7QNMRnCzgTb9TY1,-18.964722,22.37111,WET,2302.8813863636365,605.281027468107,44,0.26283638881804317,NA,NA,3,462,NA,983,1.3.2-rc,NA,3,0.6976295939433358,NA,NA,NA
BW-Nxr,ICOS,Unaffiliated,v1.3,r1,OAWAcJkAaBET5Vn-Kx2tRvsb,-19.548056,23.179167,GRA,2110.940181818182,571.0797483601414,44,0.2705333638910898,NA,NA,2,436,NA,952,1.3.2-rc,NA,2,0.6849894375140302,NA,NA,NA
CA-ARB,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/1902821,52.695,-83.9452,WET,484.4902727272727,65.09380007427694,44,0.1343552259735858,500.2881,10,14,625,700,90,1.3.2-rc,0.7142857142857143,14,-0.11059495534486076,-0.09665984459418434,-0.013935110750676374,0.04921802267018165
CA-ARF,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/1902822,52.7008,-83.955,WET,484.65153333333336,64.3583424911572,45,0.1327930235741003,500.2876,10,14,625,700,88,1.3.5-rc,0.7142857142857143,14,-0.11045042625413551,-0.09666027863878676,-0.013790147615348776,0.04921802267018165
CA-BOU,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/2469435,50.5244,-63.2064,WET,708.3693333333333,80.34162589869248,45,0.1134177075687812,735.543,2,3,1032,1011,108,1.3.5-rc,0.6666666666666666,3,-0.16341994580702934,-0.1470716305378424,-0.016348315269186977,-0.008928541700191502
CA-CF1,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/2229375,58.6658,-93.83,WET,3662.6152666666667,426.91592447307465,45,0.11656040653748745,NA,NA,2,417,452,16.5,1.3.5-rc,NA,2,0.9436552463446009,NA,NA,0.03500237983762457
CA-CF2,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/3027323,58.6658,-93.83,WET,4982.151466666666,580.7217232513193,45,0.11656043119858299,NA,NA,4,417,452,16.5,1.3.5-rc,NA,4,1.0772808717870634,NA,NA,0.03500237983762457
CA-CF3,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/3027357,58.6658,-93.8304,WET,253.44235555555557,29.541369062688677,45,0.1165605054369576,249.80100000000002,3,4,417,NA,25,1.3.5-rc,0.75,4,-0.21625685860592386,-0.22254188237033806,0.00628502376441416,NA
CA-Ca1,AmeriFlux,AmeriFlux;Fluxnet-Canada,v1.3,r1,10.17190/AMF/2007163,49.8673,-125.3336,ENF,1297.7402045454546,184.6050397441987,44,0.14225115250155812,1338.2565714285715,14,14,1692,1369,300,1.3.2-rc,1,14,-0.11521259923180342,-0.10186097406531258,-0.013351625166490813,-0.09199691056901475
CA-Ca2,AmeriFlux,AmeriFlux;Fluxnet-Canada,v1.3,r1,10.17190/AMF/2007164,49.8705,-125.2909,ENF,1162.2610227272728,165.33292567049955,44,0.14225111436890653,1156.2662,10,11,1587,1474,300,1.3.2-rc,0.9090909090909091,11,-0.13527325308971716,-0.13751909623256325,0.0022458431428461155,-0.03207944323181555
CA-Ca3,AmeriFlux,AmeriFlux;Fluxnet-Canada;Phenocam,v1.3,r1,10.17190/AMF/3027312,49.5346,-124.9004,ENF,1746.5026444444445,255.60824350273316,45,0.1463543409543712,1720.7191428571427,14,23,1582,1676,NA,1.3.5-rc,0.6086956521739131,23,0.04296276839389187,0.03650351106060983,0.006459257333282025,0.02506753513259995
CA-Cbo,AmeriFlux,AmeriFlux;Fluxnet-Canada,v1.3,r1,10.17190/AMF/1854365,44.3184,-79.9341,DBF,3332.7214222222224,372.4162349442116,45,0.11174538395588088,NA,NA,29,874,876.34,210,1.3.5-rc,NA,29,0.5812875804416661,NA,NA,0.0011612026155911335
