site_id,n_years_used_5000,n_years_used_noscreen,log_ratio_era_bio12
CA-HPC,30,30,0.6589858732142834
CA-KLP,30,30,-0.057049912938637884
CA-LP1,30,30,-0.13184028074900025
CA-LU1,30,30,0.04148294385514735
CA-LU2,30,30,0.004621283919983899
CA-MA1,30,30,-0.08244380946596354
CA-MA2,30,30,-0.0635722767903016
CA-MA3,30,30,-0.0554566690675417
CA-Man,30,30,-0.19526817311646377
CA-Mer,30,30,-0.03179370324127989
CA-Mtk,30,30,0.024638675953777577
CA-Na1,30,30,0.04468435579751065
CA-Ojp,30,30,0.010424413825449072
CA-PB1,30,30,-0.18670218809991376
CA-PB2,30,30,-0.045999835630240224
CA-Qc2,30,30,-0.07501051192360202
CA-Qfo,30,30,-0.01158532179183425
CA-RBM,30,30,-0.0841733674730794
CA-SCB,30,30,-0.09333854870989744
CA-SCC,30,30,-0.2004962262534686
CA-SF1,30,30,-0.07957218148455283
CA-SF2,30,30,-0.1586596440070881
CA-SF3,30,30,-0.10623021737108063
CA-SJ2,30,30,0.010833818556462808
CA-SMC,30,30,0.6761939626213312
CA-TP1,30,30,-0.16491250333633173
CA-TP2,30,30,-Inf
CA-TP3,30,30,0.06022313273474028
CA-TP4,30,30,0.055686378679871036
CA-TPA,30,30,0.062143089850764596
CA-TPD,30,30,-0.01934205947229319
CA-TVC,30,30,-0.3320000900769227
CG-Tch,30,30,0.06812631698945962
CH-Aws,30,30,0.059951536155529825
CH-Cha,30,30,-0.0011211827492141428
CH-Crs,30,30,-0.04446300189587842
CH-For,30,30,-0.057305120814745585
CH-Frk,30,30,-0.008221672170480443
CH-Fru,30,30,0.0336895867312838
CH-Lae,30,30,-0.11240435823177615
CH-Oe1,30,30,0.022537005471794384
CH-Oe2,30,30,0.012311502021298869
CH-Oe3,30,30,0.016832763671330783
CH-Rh1,30,30,0.09894787834440127
CH-Rh2,30,30,0.09894787834440127
CH-Rtb,30,30,0.05419312354690636
CH-Tnk,30,30,0.031117791045032213
CL-ACF,30,30,0.21509272349557793
CL-SDF,30,30,-0.20781791011979492
CL-SDP,30,30,-0.22298682984255994
CN-Aro,30,30,0.7829120795938782
CN-Ash,30,30,0.1777306718369029
CN-BeO,30,30,0.016123749182149327
CN-DaW,30,30,-0.13603331360052864
CN-Dan,30,30,-0.058459341776415916
CN-Dda,30,30,0.6483606313550434
CN-Din,30,30,-0.08038030608399392
CN-Dmn,30,30,0.8337138306070404
CN-Dsh,30,30,0.8553952346645985
CN-Du2,30,30,0.08255610408252426
CN-Dzo,30,30,0.007273259988035299
CN-Erg,30,30,0.02128848716133672
CN-GuT,30,30,-1.029160404561263
CN-Ha2,30,30,-0.001688364934274702
CN-HaM,30,30,0.8237900719878899
CN-HaW,30,30,0.010664490753671868
CN-HeD,30,30,0.6174340624264062
CN-HeM,30,30,0.535901510297423
CN-Huz,30,30,0.7660009374209189
CN-Jng,30,30,0.7967256663545264
CN-Jzh,30,30,0.0348377011178574
CN-Lch,30,30,-0.03226348947440341
CN-Lsh,30,30,-0.09632663472770495
CN-Mxn,30,30,0.07503557329759886
CN-Nmn,30,30,-0.09751820246487991
CN-Qng,25,30,0.7405146742379596
CN-Sb1,30,30,0.6745198014289228
CN-Sb2,30,30,0.6610968284594905
CN-Sdq,30,30,0.5396068304534074
CN-SnB,30,30,-0.05228604791368302
CN-Wnb,30,30,-0.022595278344025575
CN-Xi2,30,30,0.005740763875783969
CN-YaS,30,30,0.008314081510199824
CN-Yan,30,30,0.03690693878091962
CN-You,30,30,0.771831975489259
CN-Yuc,30,30,-0.04279845326944234
CN-Zha,30,30,0.5165306232294135
CR-AqC,30,30,-0.053847822382336145
CR-Fsc,30,30,-0.00240466960759368
CZ-BK2,30,30,0.03665544382514306
CZ-KrP,30,30,0.022458761774315675
CZ-LnG,30,30,-0.11877065266537265
CZ-RAJ,30,30,0.0386840561851643
CZ-Stn,30,30,-0.07554440505939537
DE-Akm,30,30,0.63080857131453
DE-Etn,26,30,0.6144888757373548
DE-Geb,30,30,0.08944359613342312
DE-Hdn,30,30,0.6451472823716524
DE-Lkb,24,30,0.5594815561065045
DE-Lnf,30,30,-0.16619325765715384
DE-Obe,30,30,0.07653058298212717
DE-Rns,30,30,-0.1191016547969722
DE-RuC,30,30,0.017529586328558895
DE-RuM,30,30,-0.14031436807189698
DE-SbM,30,30,0.34457293812456397
DE-Seh,30,30,-0.1288664398800048
DE-SfS,0,30,0.6740820628172144
DE-Spw,30,30,0.6439031629148091
DE-Zrk,30,30,0.6512165304356323
DK-Gds,30,30,0.06858159815666838
DK-Skj,30,30,-0.014159711453492659
DK-Sor,30,30,0.10402665634196227
DK-Vng,30,30,0.03892553132463457
EE-Pts,30,30,-0.05988555054351909
EE-Rng,30,30,0.042879727218996924
EE-Stg,30,30,0.6306878247690799
ES-Abr,30,30,-0.16995457936804512
ES-Agu,30,30,0.02184179736050975
ES-Amo,30,30,0.03964136432665985
ES-Cnd,30,30,0.7647025307638788
ES-Crg,30,30,0.08364169515995228
ES-Dnn,30,30,0.570793949205443
ES-FtD,30,30,0.5656644271893917
ES-Gdn,30,30,0.7647025307638788
ES-HdD,30,30,-0.21740133378606183
ES-HeB,30,30,-0.15756619098944183
ES-Hen,30,30,-0.20566453739604254
ES-LJu,30,30,0.023071443640264453
ES-LM1,30,30,0.17195732531654304
ES-LM2,30,30,0.15779931491786056
ES-Mcd,30,30,-0.03824050413979487
ES-MtB,30,30,0.5751153229880857
ES-MtN,30,30,0.5690773679907685
ES-Mzn,30,30,0.7167254334277922
ES-Pzb,30,30,-0.055579638892403416
