site_id,n_years_era5,map_era5_after,bio12_mm,badm_map_mm,map_era5_before,ratio_to_bio12_after,ratio_to_badm_after,factor_estimate_after,nearest_cluster_after
CA-LP1,30,537.0924333333334,723,570,537.0924333333334,0.7428664361456893,0.9422674269005848,0.842566931523137,elsewhere
CA-LU1,30,384.5509333333333,350,379,384.5509333333333,1.0987169523809523,1.0146462620932277,1.0566816072370901,1
CA-LU2,30,358.3070666666667,355,379,358.3070666666667,1.0093156807511738,0.9454012313104662,0.9773584560308199,1
CA-MA1,30,443.6125666666667,519,514,443.6125666666667,0.8547448298008992,0.8630594682230869,0.858902149011993,1
CA-MA2,30,462.4175666666667,518,514,462.4175666666667,0.8926980051480052,0.8996450713359274,0.8961715382419664,1
CA-MA3,30,473.8713333333333,519,514,473.8713333333333,0.9130468850353243,0.921928664072633,0.9174877745539787,1
CA-Man,30,328.0806333333333,509,520,328.0806333333333,0.6445592010478061,0.6309242948717948,0.6377417479598004,elsewhere
CA-Mer,30,882.9069999999999,943,943,882.9069999999999,0.9362746553552491,0.9362746553552491,0.9362746553552491,1
CA-Mtk,30,206.7714,197,173,206.7714,1.0496010152284263,1.1952104046242775,1.122405709926352,1
CA-Na1,30,1287.7088333333334,1147,1102.7,1287.7088333333334,1.1226755303690787,1.1677780296847133,1.145226780026896,1
CA-Ojp,30,494.6377,473,430.5,494.6377,1.045745665961945,1.1489842044134726,1.0973649351877088,1
CA-PB1,30,344.5383,525,490,344.5383,0.6562634285714286,0.703139387755102,0.6797014081632653,elsewhere
CA-PB2,30,475.45213333333334,524,490,475.45213333333334,0.9073513994910941,0.9703104761904762,0.9388309378407851,1
CA-Qc2,30,827.3691,965,NA,827.3691,0.8573773056994819,NA,0.8573773056994819,1
CA-Qfo,30,975.0215000000001,983,962.32,975.0215,0.991883519837233,1.013198831989359,1.002541175913296,1
CA-RBM,30,974.1024333333334,1180,1152,974.1024333333334,0.8255105367231639,0.8455750289351852,0.8355427828291746,elsewhere
CA-SCB,30,342.5516666666667,414,388,342.5516666666667,0.8274194847020934,0.8828651202749142,0.8551423024885038,1
CA-SCC,30,269.28866666666664,414,387.6,269.28866666666664,0.6504557165861513,0.6947592019263845,0.6726074592562679,elsewhere
CA-SF1,30,421.0691,494,470,421.0691,0.8523665991902833,0.8958917021276596,0.8741291506589715,1
CA-SF2,30,346.47696666666667,486,470,346.47696666666667,0.7129155692729767,0.7371850354609929,0.7250503023669848,elsewhere
CA-SF3,30,387.4114333333333,481,470,387.4114333333333,0.8054291753291754,0.8242796453900709,0.8148544103596231,elsewhere
CA-SJ2,30,499.2909,477,430.03,499.2909,1.0467314465408806,1.161060623677418,1.1038960351091491,1
CA-SMC,30,1656.6342333333332,349,388,1656.6342333333332,4.746802960840497,4.2696758591065285,4.508239409973513,4
CA-TP1,30,669.2239666666667,986,1036,669.2239666666667,0.6787261325219743,0.6459690797940798,0.6623476061580271,elsewhere
CA-TP2,30,0,970,1036,0,0,0,0,elsewhere
CA-TP3,30,1099.2175666666667,970,1036,1099.2175666666667,1.1332139862542956,1.0610208172458173,1.0971174017500565,1
CA-TP4,30,1099.2175666666667,976,1036,1099.2175666666667,1.126247506830601,1.0610208172458173,1.0936341620382093,1
