site_id,data_hub,product_source_network,era5_map_mm,bio12_mm,badm_map_mm,ratio_to_bio12,ratio_to_badm_map,cluster_membership
CA-TP4,AmeriFlux,AMF,1099.2175666666667,976,1036,1.126247506830601,1.061020817245817,not_in_4x_or_8x_cluster
CA-TPA,AmeriFlux,AMF,1108.8337333333334,970,956,1.143127560137457,1.1598679218967922,not_in_4x_or_8x_cluster
CA-TPD,AmeriFlux,AMF,931.4757333333332,986,1036,0.9447015551048006,0.8991078507078507,not_in_4x_or_8x_cluster
CA-TVC,AmeriFlux,AMF,104.27626666666669,219,240.6,0.47614733637747336,0.4334009420892214,not_in_4x_or_8x_cluster
CD-Ygb,ICOS,ICOS,2433.6066,1774,1811.7,1.3718188275084555,1.3432723960920685,not_in_4x_or_8x_cluster
CG-Tch,ICOS,EUF,1590.3380666666667,1320,1150,1.2048015656565656,1.3829026666666666,not_in_4x_or_8x_cluster
CH-Aws,ICOS,EUF,1332.9461333333334,1158,918,1.1510761082325849,1.45201103848947,not_in_4x_or_8x_cluster
CH-Cha,ICOS,EUF,1182.5493666666666,1194,1136,0.990409854829704,1.0409765551643193,not_in_4x_or_8x_cluster
CH-Crs,ICOS,EUF,905.8019,1016,957,0.8915373031496063,0.9465014629049112,not_in_4x_or_8x_cluster
CH-Dav,ICOS,ICOS,873.3136333333333,1094,876,0.7982757160268129,0.9969333713850836,not_in_4x_or_8x_cluster
CH-For,ICOS,EUF,1072.3002333333334,1238,1151,0.8661552773290253,0.9316248769186216,not_in_4x_or_8x_cluster
CH-Frk,ICOS,EUF,1197.6444666666666,1224,1450,0.9784677015250544,0.8259617011494252,not_in_4x_or_8x_cluster
CH-Fru,ICOS,EUF,1503.4292,1398,1492,1.0754143061516452,1.0076603217158178,not_in_4x_or_8x_cluster
CH-Lae,ICOS,EUF,883.6265666666667,1160,1100,0.761747040229885,0.8032968787878788,not_in_4x_or_8x_cluster
CH-Oe1,ICOS,EUF,1175.8516666666667,1126,1100,1.0442732386027236,1.0689560606060606,not_in_4x_or_8x_cluster
CH-Oe2,ICOS,EUF,1148.4836666666667,1126,1155,1.0199677323860272,0.994358152958153,not_in_4x_or_8x_cluster
CH-Oe3,ICOS,EUF,1160.512966666667,1126,1100,1.0306509473060983,1.055011787878788,not_in_4x_or_8x_cluster
CH-Rh1,ICOS,EUF,1677.0118333333332,1351,1407,1.241311497656057,1.1919060649135276,not_in_4x_or_8x_cluster
CH-Rh2,ICOS,EUF,1677.0118333333332,1351,1407,1.241311497656057,1.1919060649135276,not_in_4x_or_8x_cluster
CH-Rtb,ICOS,EUF,1436.3975666666668,1275,1434,1.1265863267973857,1.0016719432821943,not_in_4x_or_8x_cluster
CH-Tnk,ICOS,EUF,1168.721633333333,1094,1169,1.0683013101767216,0.999761876247505,not_in_4x_or_8x_cluster
CL-ACF,AmeriFlux,AMF,3172.8040666666666,1914,4500,1.6576823754789272,0.7050675703703704,not_in_4x_or_8x_cluster
CL-SDF,AmeriFlux,AMF,1506.9242333333334,2409,2110,0.6255393247543932,0.7141821011058452,not_in_4x_or_8x_cluster
CL-SDP,AmeriFlux,AMF,1421.9918333333333,2354,2110,0.6040746955536674,0.6739297788309636,not_in_4x_or_8x_cluster
CN-Aro,ICOS,CNF,2471.6720666666665,411,400,6.013800648824006,6.179180166666666,not_in_4x_or_8x_cluster
CN-Ash,ICOS,CNF,1466.8425666666667,988,NA,1.4846584682861,NA,not_in_4x_or_8x_cluster
CN-BeO,ICOS,CNF,532.4038666666667,546,NA,0.9750986568986568,NA,not_in_4x_or_8x_cluster
CN-DaW,ICOS,CNF,311.1937,419,NA,0.7427057279236277,NA,not_in_4x_or_8x_cluster
CN-Dan,ICOS,CNF,372.06173333333334,419,NA,0.8879754972155927,NA,not_in_4x_or_8x_cluster
CN-Dda,ICOS,CNF,1158.7745666666667,261,NA,4.439749297573436,NA,4x_cluster
CN-Din,ICOS,CNF,1502.0699,1835,NA,0.8185667029972752,NA,not_in_4x_or_8x_cluster
CN-Dmn,ICOS,CNF,1534.9444,222,130,6.914163963963963,11.807264615384614,not_in_4x_or_8x_cluster
CN-Dsh,ICOS,CNF,2499.131833333334,345,380,7.24386038647343,6.576662719298246,8x_cluster
CN-Du2,ICOS,CNF,476.4095,399,NA,1.1940087719298245,NA,not_in_4x_or_8x_cluster
CN-Dzo,ICOS,CNF,1668.2482666666667,1647,NA,1.0129011940902652,NA,not_in_4x_or_8x_cluster
CN-Erg,ICOS,CNF,357.0635666666667,360,NA,0.9918432407407408,NA,not_in_4x_or_8x_cluster
CN-GuT,ICOS,CNF,52.5306,568,NA,0.09248345070422535,NA,not_in_4x_or_8x_cluster
CN-Ha2,ICOS,CNF,457.11086666666665,468,NA,0.976732621082621,NA,not_in_4x_or_8x_cluster
CN-HaM,ICOS,JPF,3057.3432333333335,468,567,6.532784686609687,5.392139741328631,not_in_4x_or_8x_cluster
CN-HaW,ICOS,CNF,470.30376666666666,468,NA,1.0049225783475784,NA,not_in_4x_or_8x_cluster
CN-HeD,ICOS,CNF,151.21866666666665,34,37,4.447607843137255,4.086990990990991,4x_cluster
CN-HeM,ICOS,CNF,152.75446666666667,41,37,3.725718699186992,4.128499099099099,4x_cluster
CN-Huz,ICOS,CNF,1534.9444,260,130,5.903632307692307,11.807264615384614,8x_cluster
CN-Jng,ICOS,CNF,2983.7575666666667,481,400,6.2032381843381845,7.459393916666667,8x_cluster
CN-Jzh,ICOS,CNF,570.5362333333334,549,NA,1.0392281117182758,NA,not_in_4x_or_8x_cluster
CN-Lch,ICOS,CNF,427.3243,475,NA,0.8996301052631579,NA,not_in_4x_or_8x_cluster
CN-Lsh,ICOS,JPF,453.5005,587,724,0.7725732538330494,0.626381906077348,not_in_4x_or_8x_cluster
CN-Mxn,ICOS,CNF,945.7413,798,NA,1.1851394736842105,NA,not_in_4x_or_8x_cluster
CN-Nmn,ICOS,CNF,326.66613333333333,431,NA,0.7579260634184068,NA,not_in_4x_or_8x_cluster
CN-Qng,ICOS,CNF,4503.760066666667,875,NA,5.147154361904762,NA,not_in_4x_or_8x_cluster
CN-Sb1,ICOS,FLX,2080.9931333333334,446,452,4.665903886397609,4.603967109144543,not_in_4x_or_8x_cluster
CN-Sb2,ICOS,FLX,2080.9931333333334,460,452,4.523898115942029,4.603967109144543,4x_cluster
CN-Sdq,ICOS,CNF,152.75446666666667,41,37,3.725718699186992,4.128499099099099,4x_cluster
CN-SnB,ICOS,FLX,880.7532666666667,1021,1022,0.86263787136794,0.8617938030006523,not_in_4x_or_8x_cluster
CN-Wnb,ICOS,CNF,127.28223333333334,127,NA,1.002222309711286,NA,not_in_4x_or_8x_cluster
CN-Xi2,ICOS,CNF,321.5742666666667,322,NA,0.9986778467908904,NA,not_in_4x_or_8x_cluster
CN-YaS,ICOS,CNF,311.3360666666667,309,NA,1.007560086299892,NA,not_in_4x_or_8x_cluster
CN-Yan,ICOS,CNF,343.61196666666666,321,NA,1.0704422637590862,NA,not_in_4x_or_8x_cluster
CN-You,ICOS,CNF,2649.448966666667,452,400,5.861612758112095,6.623622416666667,not_in_4x_or_8x_cluster
CN-Yuc,ICOS,CNF,545.4328,607,NA,0.8985713344316311,NA,not_in_4x_or_8x_cluster
CN-Zha,ICOS,CNF,631.1700666666667,188,130,3.3572875886524822,4.855154358974359,4x_cluster
CR-AqC,ICOS,FLX,3000.089966666667,3307,3207,0.9071938211873803,0.9354817482590168,not_in_4x_or_8x_cluster
CR-Fsc,AmeriFlux,AMF,1835.032866666667,1824,NA,1.006048720760234,NA,not_in_4x_or_8x_cluster
CZ-BK1,ICOS,ICOS,1223.8335333333334,1013,1338.12,1.2081278710102008,0.914591765561634,not_in_4x_or_8x_cluster
CZ-BK2,ICOS,EUF,1092.0189,1003,1316,1.0887526420737788,0.8298015957446808,not_in_4x_or_8x_cluster
CZ-KrP,ICOS,EUF,604.5559666666667,576,620,1.0495763310185184,0.9750902688172044,not_in_4x_or_8x_cluster
CZ-LnG,ICOS,EUF,500.80443333333335,647,0,0.7740408552292632,Inf,not_in_4x_or_8x_cluster
CZ-Lnz,ICOS,ICOS,518.4126,647,518.031,0.8012559505409582,1.0007366354523186,not_in_4x_or_8x_cluster
CZ-RAJ,ICOS,EUF,660.3521000000001,606,681,1.0896899339933994,0.9696800293685756,not_in_4x_or_8x_cluster
CZ-Stn,ICOS,EUF,671.8468,794,685,0.8461546599496222,0.9807982481751826,not_in_4x_or_8x_cluster
CZ-wet,ICOS,ICOS,571.4314666666667,632,603,0.9041637130801689,0.9476475400773908,not_in_4x_or_8x_cluster
DE-Akm,ICOS,EUF,2403.4020666666665,563,562,4.26892018946122,4.276516132858838,4x_cluster
DE-Amv,ICOS,ICOS,750.4336333333333,773,835,0.9708067701595516,0.8987229141716566,not_in_4x_or_8x_cluster
DE-Brs,ICOS,ICOS,669.0684,624,617.9,1.072225,1.08281016345687,not_in_4x_or_8x_cluster
DE-Etn,ICOS,EUF,4270.398866666666,1062,1190,4.021091211550534,3.588570476190476,4x_cluster
DE-Fen,ICOS,ICOS,1042.6085333333333,1131,1081,0.921846625405246,0.9644852297255628,not_in_4x_or_8x_cluster
DE-Geb,ICOS,ICOS,611.8403,500,534,1.2236806,1.145768352059925,not_in_4x_or_8x_cluster
DE-Gri,ICOS,ICOS,913.0325333333334,790,NA,1.1557373839662448,NA,not_in_4x_or_8x_cluster
DE-GsB,ICOS,ICOS,516.6206666666667,505,581,1.0230112211221123,0.8891921973608721,not_in_4x_or_8x_cluster
DE-Gwg,ICOS,ICOS,1172.6762,1331,1616,0.8810489857250187,0.7256659653465346,not_in_4x_or_8x_cluster
DE-Hai,ICOS,ICOS,729.2309333333334,865,744,0.8430415414258189,0.9801491039426524,not_in_4x_or_8x_cluster
DE-Har,ICOS,ICOS,594.0937666666666,797,641,0.745412505227938,0.9268233489339572,not_in_4x_or_8x_cluster
DE-Hdn,ICOS,EUF,2464.5783333333334,559,NA,4.4089057841383426,NA,4x_cluster
DE-HoH,ICOS,ICOS,494.7356666666667,572,563,0.8649224941724942,0.8787489638839551,not_in_4x_or_8x_cluster
DE-Hte,ICOS,EUF,607.5053,584,645,1.040248801369863,0.9418686821705426,not_in_4x_or_8x_cluster
DE-Hzd,ICOS,ICOS,3285.0614666666665,759,877,4.328144224857268,3.7457941467122766,4x_cluster
DE-Kli,ICOS,ICOS,785.4598666666667,826,756,0.9509199354318,1.038968077601411,not_in_4x_or_8x_cluster
DE-Lkb,ICOS,EUF,4786.6331666666665,1332,1599,3.593568443443443,2.993516677089848,not_in_4x_or_8x_cluster
DE-Lnf,ICOS,EUF,572.2909333333333,849,0,0.674076482135846,Inf,not_in_4x_or_8x_cluster
DE-Msr,ICOS,ICOS,1160.6819666666668,1146,1383,1.0128114892379292,0.8392494335984575,not_in_4x_or_8x_cluster
DE-Obe,ICOS,EUF,965.455,809,981,1.1933930778739184,0.9841539245667684,not_in_4x_or_8x_cluster
DE-Rns,ICOS,EUF,492.0482,655,645,0.7512186259541985,0.7628654263565892,not_in_4x_or_8x_cluster
DE-RuC,ICOS,EUF,1153.0368666666666,1131,1250,1.0194844090775124,0.9224294933333332,not_in_4x_or_8x_cluster
DE-RuM,ICOS,EUF,507.6691333333333,719,750,0.7060766805748725,0.6768921777777778,not_in_4x_or_8x_cluster
DE-RuR,ICOS,ICOS,884.6440333333334,1066,1033,0.8298724515322077,0.8563833817360439,not_in_4x_or_8x_cluster
DE-RuS,ICOS,ICOS,571.5275666666666,714,698,0.800458776844071,0.8188074021012416,not_in_4x_or_8x_cluster
DE-RuW,ICOS,ICOS,1095.6656,1152,1250,0.9510986111111112,0.8765324800000001,not_in_4x_or_8x_cluster
DE-SbM,ICOS,EUF,3300.8578333333335,1500,1136,2.2005718888888888,2.9056847124413148,not_in_4x_or_8x_cluster
DE-Seh,ICOS,EUF,513.2817333333334,714,693,0.7188819794584501,0.7406662818662819,not_in_4x_or_8x_cluster
DE-SfS,ICOS,EUF,5251.853666666667,1115,1127,4.710182660687593,4.660029872818693,not_in_4x_or_8x_cluster
DE-Spw,ICOS,EUF,2414.6585666666665,553,558,4.366471187462326,4.327345101553166,4x_cluster
DE-Tha,ICOS,ICOS,804.5215333333333,737,829,1.0916167345092718,0.9704722959388822,not_in_4x_or_8x_cluster
DE-Zrk,ICOS,EUF,2655.0587333333333,594,584,4.469795847362514,4.546333447488585,4x_cluster
DK-Eng,ICOS,EUF,2593.9773666666665,606,NA,4.280490704070407,NA,4x_cluster
DK-Fou,ICOS,EUF,721.6794333333333,714,NA,1.0107555088702147,NA,not_in_4x_or_8x_cluster
DK-Gds,ICOS,ICOS,918.4582666666666,795,883,1.1552934171907756,1.0401565873914684,not_in_4x_or_8x_cluster
DK-RCW,ICOS,ICOS,451.0605,606,729.4,0.7443242574257426,0.6183993693446669,not_in_4x_or_8x_cluster
DK-Skj,ICOS,ICOS,779.0029666666667,813,809,0.9581832308323084,0.9629208487845076,not_in_4x_or_8x_cluster
DK-Sor,ICOS,ICOS,775.8816333333333,613,640,1.2657122892876562,1.2123150520833332,not_in_4x_or_8x_cluster
