axis,aggregation_level,n_classes,weighted_jaccard,hellinger_distance,network,n_sites
trendy_nee_iav,7bin_hybrid,7,0.5073444965452597,0.3156212634029903,current_767,767
trendy_nee_iav,7bin_hybrid,7,0.5078057510600549,0.3158329699375392,fluxnet2015,212
trendy_nee_iav,7bin_hybrid,7,0.4404585509953817,0.3903518046630672,la_thuile,252
trendy_nee_iav,7bin_hybrid,7,0.3973272928346055,0.35191517943292777,marconi,35
trendy_nee_median,12bin_hybrid,12,0.4795675742208807,0.3293428936157559,current_767,767
trendy_nee_median,18bin_hybrid,18,0.4772881286432648,0.3367052203728814,current_767,767
trendy_nee_median,20bin_hybrid,20,0.4744762379320246,0.33367104181152685,current_767,767
trendy_nee_median,30bin_hybrid,30,0.4655056123825356,0.3404516107638897,current_767,767
trendy_nee_median,7bin_hybrid,7,0.494861764051118,0.3198641367029892,current_767,767
trendy_nee_median,7bin_hybrid,7,0.4954323021659446,0.3161875425306458,fluxnet2015,212
trendy_nee_median,7bin_hybrid,7,0.4073965920562537,0.3992941526558834,la_thuile,252
trendy_nee_median,7bin_hybrid,7,0.38116999129468593,0.3623470261138425,marconi,35
biomass_cci_v7,7bin_hybrid,7,0.636231164957332,0.1662672931655984,current_781,781
landcover_cci,high_level,10,0.5671611568353636,0.3302702397301713,current_781,781
landcover_cci,level2,22,0.4894600547228149,0.3642635546043352,current_781,781
landcover_cci,native,37,0.4456979057849959,0.3920193795509325,current_781,781
aridity_unep5,unep5,5,0.693700470362955,0.21111332352905637,current_781,781
aridity_unep7,unep7,7,0.665920460867173,0.2180853716109419,current_781,781
trendy_nee_iav,7bin_hybrid,7,0.5057625962521666,0.31737452940172156,current_781,781
trendy_et_iav,7bin_hybrid,7,0.6652715669151787,0.22433115136760776,current_781,781
trendy_nee_median,7bin_hybrid,7,0.4931868270307604,0.3208924440085051,current_781,781
trendy_et_median,7bin_hybrid,7,0.45560370965096225,0.347017727809834,current_781,781
