site_id,ERA_VARIABLE,ERA_SLOPE,ERA_INTERCEPT,ERA_RMSE,ERA_CORRELATION
AU-Whr,VPD,1,0,1.94,0.88
AU-Whr,WS,1,0.08,0.5,0.75
AU-Whr,P,1,-9999,-9999,-9999
AU-Whr,SW_IN,1,27.09,80.23,0.81
AU-Whr,LW_IN,1,0.05,11.35,0.81
AU-Whr,LW_IN_JSB,1,-0,16.99,0.74
AU-Wom,TA,1,-0,1.15,0.93
AU-Wom,PA,1,-0,0.14,0.92
AU-Wom,VPD,1,-0,1.43,0.89
AU-Wom,WS,1,0.17,0.52,0.73
AU-Wom,P,1,-9999,-9999,-9999
AU-Wom,SW_IN,1,6.33,60.62,0.91
AU-Wom,LW_IN,1,-0,13.93,0.71
AU-Wom,LW_IN_JSB,1,0.01,15.42,0.68
AU-Wrr,TA,1,0,0.76,0.93
AU-Wrr,PA,1,-0,0.12,0.95
AU-Wrr,VPD,1,0,0.86,0.86
AU-Wrr,WS,1,0.11,0.57,0.7
AU-Wrr,P,1,-9999,-9999,-9999
AU-Wrr,SW_IN,1,22.01,65.42,0.72
AU-Wrr,LW_IN,1,-0,7.95,0.66
AU-Wrr,LW_IN_JSB,1,-0.01,14,0.58
AU-Ya1,TA,1,-0,0.75,0.9
AU-Ya1,PA,1,-0,0.03,0.98
AU-Ya1,VPD,1,-0,1.12,0.82
AU-Ya1,WS,1,0.08,0.22,0.51
AU-Ya1,P,1,-9999,-9999,-9999
AU-Ya1,SW_IN,1,27.21,40.05,0.77
AU-Ya1,LW_IN,1,-0,4.42,0.89
AU-Ya1,LW_IN_JSB,1,-0.03,9.28,0.79
AU-Ya2,TA,1,-0,0.68,0.9
AU-Ya2,PA,1,0,0.04,0.96
AU-Ya2,VPD,1,-0,1.03,0.82
AU-Ya2,WS,1,0.1,0.22,0.54
AU-Ya2,P,1,-9999,-9999,-9999
AU-Ya2,SW_IN,1,27.2,40.05,0.77
AU-Ya2,LW_IN,1,-0,4.42,0.89
AU-Ya2,LW_IN_JSB,1,0.01,8.73,0.8
AU-Ync,TA,1,-0,1.62,0.93
AU-Ync,PA,1,0,0.14,0.92
AU-Ync,VPD,1,-0,3.22,0.83
AU-Ync,WS,1,0.04,0.84,0.66
AU-Ync,P,1,-9999,-9999,-9999
AU-Ync,SW_IN,1,42.06,110.85,0.75
AU-Ync,LW_IN,1,-0,11.46,0.86
AU-Ync,LW_IN_JSB,1,-0,22.31,0.77
BE-Bra,TA,1,-0,0.91,0.98
BE-Bra,PA,1,0,0.2,0.96
BE-Bra,VPD,1,-0,1.13,0.93
BE-Bra,WS,1,0.16,0.58,0.85
BE-Bra,P,1,-9999,-9999,-9999
BE-Bra,SW_IN,1,4.72,65.09,0.89
BE-Bra,LW_IN,1,-0,13.81,0.85
BE-Bra,LW_IN_JSB,1,-0,19.62,0.81
BE-Dor,TA,1,0,1.1,0.96
BE-Dor,PA,1,0,0.21,0.91
BE-Dor,VPD,1,0,0.93,0.91
BE-Dor,WS,1,-0.09,0.57,0.81
BE-Dor,P,1,-9999,-9999,-9999
BE-Dor,SW_IN,1,6.03,52.27,0.89
BE-Dor,LW_IN,1,0.01,11.26,0.86
BE-Dor,LW_IN_JSB,1,0.01,16.44,0.8
BE-Lcr,TA,1,0,0.55,0.96
BE-Lcr,PA,1,-0,0.12,0.92
BE-Lcr,VPD,1,0,0.56,0.91
BE-Lcr,WS,1,0.06,0.36,0.74
BE-Lcr,P,1,-9999,-9999,-9999
BE-Lcr,SW_IN,1,5.44,26.77,0.91
BE-Lcr,LW_IN,1,0.01,6.99,0.84
BE-Lcr,LW_IN_JSB,1,-0,8.9,0.8
BE-Lon,TA,1,-0,1.26,0.96
BE-Lon,PA,1,0,0.29,0.9
BE-Lon,VPD,1,-0,1.11,0.92
BE-Lon,WS,1,-0.05,0.62,0.87
BE-Lon,P,1,-9999,-9999,-9999
BE-Lon,SW_IN,1,5.89,60.14,0.9
BE-Lon,LW_IN,1,-0.01,13.16,0.86
BE-Lon,LW_IN_JSB,1,0.03,20.02,0.8
BE-Maa,TA,1,-0,0.89,0.97
BE-Maa,PA,1,0,0.04,1
BE-Maa,VPD,1,-0,1.02,0.92
BE-Maa,WS,1,-0.01,0.74,0.53
BE-Maa,P,1,-9999,-9999,-9999
BE-Maa,SW_IN,1,5.4,42.21,0.9
BE-Maa,LW_IN,1,0,9.11,0.88
BE-Maa,LW_IN_JSB,1,-0.01,13.37,0.83
BE-Vie,TA,1,0,0.99,0.98
