rank_by_abs_delta,target_class,delta_frac,direction,site_id,era5_twoletter,era5_class,beck_twoletter,beck_class
5,Ds,0.014084507042253523,moved_out_under_beck,US-UTJ,Ds,Dsa,BW,BWk
5,Ds,0.014084507042253523,moved_out_under_beck,US-UTW,Ds,Dsa,BS,BSk
6,Cs,0.011523687580025602,moved_in_under_beck,AU-Boy,BS,BSk,Cs,Csa
6,Cs,0.011523687580025602,moved_in_under_beck,AU-Col,Cf,Cfb,Cs,Csb
6,Cs,0.011523687580025602,moved_in_under_beck,AU-Rgf,BS,BSk,Cs,Csa
6,Cs,0.011523687580025602,moved_in_under_beck,CA-Ca1,Cf,Cfb,Cs,Csb
6,Cs,0.011523687580025602,moved_in_under_beck,CA-Ca2,Cf,Cfb,Cs,Csb
6,Cs,0.011523687580025602,moved_in_under_beck,CA-Ca3,Cf,Cfb,Cs,Csb
6,Cs,0.011523687580025602,moved_in_under_beck,ES-Crg,BS,BSk,Cs,Csa
6,Cs,0.011523687580025602,moved_in_under_beck,ES-HdD,BS,BSk,Cs,Csa
6,Cs,0.011523687580025602,moved_in_under_beck,ES-Pzb,BS,BSh,Cs,Csa
6,Cs,0.011523687580025602,moved_in_under_beck,ES-Yst,BS,BSk,Cs,Csa
6,Cs,0.011523687580025602,moved_in_under_beck,IL-Yat,BS,BSh,Cs,Csa
6,Cs,0.011523687580025602,moved_in_under_beck,US-EKH,BW,BWk,Cs,Csb
6,Cs,0.011523687580025602,moved_in_under_beck,US-EKN,BW,BWk,Cs,Csb
6,Cs,0.011523687580025602,moved_in_under_beck,US-EKP,BW,BWk,Cs,Csb
6,Cs,0.011523687580025602,moved_in_under_beck,US-Lin,BS,BSk,Cs,Csa
6,Cs,0.011523687580025602,moved_in_under_beck,US-Me1,BS,BSk,Cs,Csb
6,Cs,0.011523687580025602,moved_in_under_beck,US-Me3,Ds,Dsb,Cs,Csb
6,Cs,0.011523687580025602,moved_in_under_beck,US-Me6,Ds,Dsb,Cs,Csb
6,Cs,0.011523687580025602,moved_in_under_beck,US-Myb,BS,BSk,Cs,Csa
6,Cs,0.011523687580025602,moved_in_under_beck,US-Tw3,BS,BSk,Cs,Csa
6,Cs,0.011523687580025602,moved_in_under_beck,ZA-Jks,Cf,Cfb,Cs,Csb
6,Cs,0.011523687580025602,moved_out_under_beck,CA-DSM,Cs,Csb,Cf,Cfb
6,Cs,0.011523687580025602,moved_out_under_beck,ES-TzM,Cs,Csa,BS,BSk
6,Cs,0.011523687580025602,moved_out_under_beck,US-ASH,Cs,Csa,BW,BWk
6,Cs,0.011523687580025602,moved_out_under_beck,US-ASM,Cs,Csa,BW,BWk
6,Cs,0.011523687580025602,moved_out_under_beck,US-Fmf,Cs,Csb,Ds,Dsb
6,Cs,0.011523687580025602,moved_out_under_beck,US-Me5,Cs,Csb,Ds,Dsb
6,Cs,0.011523687580025602,moved_out_under_beck,US-NSa,Cs,Csa,BS,BSh
6,Cs,0.011523687580025602,moved_out_under_beck,US-NSb,Cs,Csa,BS,BSh
6,Cs,0.011523687580025602,moved_out_under_beck,US-PSH,Cs,Csa,BW,BWh
6,Cs,0.011523687580025602,moved_out_under_beck,US-PSL,Cs,Csa,BS,BSh
6,Cs,0.011523687580025602,moved_out_under_beck,US-xTE,Cs,Csb,Ds,Dsb
6,Cs,0.011523687580025602,moved_out_under_beck,ES-Ln2,Cs,Csb,Ds,Dsb
7,Am,0.010243277848911651,moved_in_under_beck,BR-Sa3,Aw,Aw,Am,Am
7,Am,0.010243277848911651,moved_in_under_beck,GF-Guy,Af,Af,Am,Am
7,Am,0.010243277848911651,moved_in_under_beck,GH-Ank,Af,Af,Am,Am
7,Am,0.010243277848911651,moved_in_under_beck,PR-xLA,Aw,Aw,Am,Am
7,Am,0.010243277848911651,moved_in_under_beck,US-Elm,Aw,Aw,Am,Am
7,Am,0.010243277848911651,moved_in_under_beck,US-Esm,Aw,Aw,Am,Am
7,Am,0.010243277848911651,moved_in_under_beck,US-EvM,Aw,Aw,Am,Am
7,Am,0.010243277848911651,moved_in_under_beck,US-TaS,Af,Af,Am,Am
8,Cw,0.005121638924455826,moved_in_under_beck,CN-Ash,Cf,Cfb,Cw,Cwb
8,Cw,0.005121638924455826,moved_in_under_beck,KE-Aq1,Cf,Cfb,Cw,Cwb
8,Cw,0.005121638924455826,moved_in_under_beck,KE-Aq2,Cf,Cfb,Cw,Cwb
8,Cw,0.005121638924455826,moved_in_under_beck,KR-AdC,Cf,Cfa,Cw,Cwa
