site_id,flux,location_lat,location_long,tower_value,model_value,n_tower_years,tower_carbon_src,tower_partition,n_models
IT-BFt,NEE,45.197754,10.741966,-42.013829216859406,-88.56440075318528,7,VUT,NA,17
IT-BsB,NEE,45.11823,7.161995,-569.7474697411199,-57.392128665801465,4,VUT,NA,17
IT-CA1,NEE,42.38041,12.026561,-317.6955113184,-73.8346761525778,4,VUT,NA,17
IT-CA2,NEE,42.37722,12.026039,-171.34972827264002,-73.4318022496551,4,VUT,NA,17
IT-CA3,NEE,42.38,12.0222,-531.8350077064321,-73.9148228342857,4,VUT,NA,17
IT-Cp2,NEE,41.704266,12.357293,-771.1443666843428,-40.562563571054795,14,VUT,NA,17
IT-Cpz,NEE,41.70525,12.376106,-509.2001822283428,-40.02429038563338,8,VUT,NA,17
IT-Lav,NEE,45.9562,11.28132,-2030.3991810625007,-92.01234164312746,18,VUT,NA,17
IT-Lsn,NEE,45.740482,12.750297,-38.03330391278399,-116.50236947524218,10,VUT,NA,17
IT-MBo,NEE,46.01468,11.045831,3.0261056197005054,-83.46489691761798,22,VUT,NA,17
IT-MtM,NEE,46.687134,10.579597,-402.21377708018684,-38.04994758399653,6,VUT,NA,17
IT-MtP,NEE,46.684284,10.5851755,171.09254745792,-38.14510445594851,6,VUT,NA,17
IT-NiG,NEE,45.51919,7.171434,-54.218229783552005,-61.64025263330973,5,VUT,NA,17
IT-Noe,NEE,40.606174,8.151694,53.153960797439986,-41.85352528889973,3,VUT,NA,16
IT-PT1,NEE,45.20087,9.061039,-587.0865045888,-95.0525487105939,3,VUT,NA,17
IT-Ren,NEE,46.58686,11.43369,-732.0473481306758,-85.35257183650151,26,VUT,NA,17
IT-Ro1,NEE,42.40812,11.93001,-216.19447721732575,-78.36758968544791,9,VUT,NA,17
IT-Ro2,NEE,42.39026,11.92093,-668.1405767266286,-77.70121938038449,10,VUT,NA,17
IT-SR2,NEE,43.73202,10.29091,-244.31055974486273,-60.33736372910721,13,VUT,NA,17
IT-SRo,NEE,43.72786,10.284445,-392.3006838174075,-59.73151591390865,14,VUT,NA,17
IT-Tor,NEE,45.84444,7.578055,-66.85406847497345,-56.952187151346834,18,VUT,NA,17
IT-TrF,NEE,45.82376,7.56089,-900.4637297437109,-57.72051834522438,14,VUT,NA,17
JP-Api,NEE,40.001358,140.93658,-262.2892787055841,-69.12384126174925,23,VUT,NA,17
JP-Fhk,NEE,35.443554,138.7647,-170.17649718852712,-75.15326673529512,18,VUT,NA,17
JP-Fjy,NEE,35.45454,138.76225,-419.4322517678123,-74.8184967828713,21,VUT,NA,17
JP-Fmt,NEE,35.638744,139.37975,-45.01679945965712,-79.58311849186043,10,VUT,NA,17
