site_id,nee_annual_ref,nee_annual_25,nee_annual_75,half_width_site,location_lat,location_long
ES-HeB,-184.45581194111998,-232.66374940523522,-159.65248691289597,36.50563124616963,38.40475,-1.726215
ES-Hen,-175.7816017138944,-228.43828638374399,-126.19383462143998,51.122225881152005,38.411087,-1.697534
ES-LJu,-7.129325895686069,-42.79149415292173,17.600318408312194,30.19590628061696,36.926594,-2.752115
ES-LM1,-11.023680896221098,-21.320702089658194,-2.059037125108347,9.630832482274924,39.94269,-5.778683
ES-LM2,31.04990868978431,18.30240768653674,36.728272459882476,9.212932386672868,39.934593,-5.775881
ES-LMa,50.868493596288,36.743567922431986,61.629365294784,12.442898686176008,39.94033,-5.77465
ES-LgS,-102.536035538112,-110.25908889408,-96.51973447296,6.869677210559999,37.097935,-2.965833
ES-Mcd,-154.45740446290287,-176.79621574228113,-135.82817773796572,20.48401900215771,39.58819,-0.39969
ES-MtB,-407.76335766432,-417.38572940544,-400.40326493855997,8.491232233440002,37.020206,-6.5544033
ES-Mzn,-20.366102056320017,-41.57555962751997,-2.0218919327999814,19.776833847359995,40.089497,-0.827409
ES-Pdu,-130.761917568,-149.896173024,-107.25682582080002,21.319673601599995,37.016975,-3.609228
ES-Pzb,45.92325182976002,34.67940264000001,57.44170805760001,11.381152708799998,38.362118,-4.767329
ES-Srn,26.467920288000002,-11.41017974784001,38.199020014080006,24.80459988096001,40.15047,-0.8380832
ES-VDA,-82.78651595519999,-134.23013356032,-47.30211544319997,43.46400905856002,42.15111,1.4473800000000001
ES-Yst,-339.31041958656,-355.50900983232,-323.98735672512004,15.76082655359997,38.338932,-2.3506052
FI-Hyy,-228.60092958375273,-238.48530172802845,-220.06668923092448,9.209306248551982,61.847410000000004,24.29477
FI-Jok,124.36938745919998,120.34580152895997,131.25218077728002,5.453189624160025,60.8986,23.51345
FI-Ken,53.39903132752457,41.884680659328,67.78098534034287,12.948152340507434,67.98721,24.24301
FI-Let,-33.206153672982865,-54.61805505527588,-9.349345365572574,22.634354844851654,60.64183,23.95952
FI-Nsv,34.593834734207995,30.687020474112003,36.898743642624005,3.105861584256001,62.8639,24.08382
