site_id,n_own_years,tower_nee,tower_half_width,model_median,model_min,model_max,n_models,diff_tower_minus_model
AU-Cum,7,-367.5981987468916,21.570209333568016,-40.66911592087763,-136.6543134453414,40.23106481296874,17,-326.929082826014
AU-DaP,6,-201.14830414079998,36.782878204799985,-73.79906239271568,-237.5173293157016,4.2312712045877605,17,-127.3492417480843
AU-DaS,13,-380.31271943842006,47.25215015365717,-47.07791771182728,-172.68313131389382,6.196786355869305,17,-333.23480172659276
AU-Dry,11,-409.44963746607294,22.929566771126076,-73.70357096319971,-231.1194039878159,7.411133715420605,17,-335.74606650287325
AU-Emr,3,73.85074584191999,7.8196450636799995,-48.795547973115916,-276.2367401715868,92.75098205678529,17,122.6462938150359
AU-Fog,3,-490.2394608230399,17.567308494720038,-70.36938490405282,-303.94406935500587,9.50539352635416,17,-419.8700759189871
AU-GWW,8,-240.69150997681945,7.300707468506175,-10.121624920627616,-84.45133710847067,10.622504773286446,17,-230.56988505619182
AU-Gin,10,-431.3495547610977,18.179874253287466,-16.348944291704633,-83.30558970876623,48.13666445593266,17,-415.00061046939305
AU-How,19,-761.5323518266719,40.30468769953518,-77.8209074392126,-217.92895276364783,4.1845478258634845,17,-683.7114443874592
AU-Lit,6,-437.11410173472007,59.41532631801604,-52.79961362387209,-229.29931889951447,63.50041592200806,17,-384.31448811084795
AU-Lon,3,-132.77238837984,19.063202271033575,-13.060769638303142,-97.50328497958922,5.640654742859134,17,-119.71161874153687
AU-Otw,4,-274.77785205503994,25.722018426240027,-59.021643669128636,-244.25241088867202,38.3096289554483,17,-215.7562083859113
AU-RDF,3,321.0642614016,55.482186384000045,-71.13117489094391,-219.3694998026851,0.0010060474710162307,17,392.1954362925439
AU-Rgf,5,-57.51503455762284,18.22449007460571,-19.847726889193027,-182.70403414988323,43.92723738936435,17,-37.667307668429814
AU-Rig,7,-139.08795810706286,7.2593581454043346,-44.09129942817141,-183.1891512610561,17.191318045816747,17,-94.99665867889145
AU-Rob,8,-1047.0528517862667,43.80046137481838,-61.94727976579765,-234.89740074649944,-6.664782209543708,17,-985.105572020469
AU-Sam,8,-145.70635772952,34.27236505621028,-80.07813988932716,-181.63996288578122,6.0470462951941,17,-65.62821784019283
AU-Sil,1,-28.913014768896016,9.758813468543996,-64.70477817474355,-278.4371599539693,69.81797959982953,17,35.79176340584753
AU-Stp,13,-84.3784323066277,12.553093004415864,-28.27644728903891,-175.24757285674747,6.887493474776826,17,-56.10198501758879
AU-Wac,4,-1772.472951936,56.76056726400009,-24.729243095487767,-83.9461142762253,50.35636740106601,17,-1747.7437088405122
AU-Whr,9,-404.1430603632,21.88029106738287,-33.5436569606077,-126.13623445852444,14.745852322248503,17,-370.5994034025923
AU-Wom,11,-1258.578905888216,43.7506921371928,-54.650348852906724,-155.03400353647444,14.403840411078901,17,-1203.9285570353093
AU-Wrr,8,-99.90387431374633,48.71891721512777,-54.05107130365024,-143.40120023315453,25.785970109998324,17,-45.85280301009609
AU-Ync,9,-133.775185810176,10.47046824796449,-19.05801095169579,-115.03611471751718,31.922906220070256,17,-114.7171748584802
BE-Bra,20,-151.95352303091784,20.19967169307438,-72.00525417622752,-198.54488378614522,97.00495519535008,17,-79.94826885469031
BE-Dor,10,-77.14650561768474,19.81436926457354,-48.31473524624342,-230.60880191664583,62.42904927869895,17,-28.831770371441316
BE-Lcr,2,-342.5592650976,29.97682779887998,-61.71641699545128,-273.13212438843595,63.04682562160403,17,-280.84284810214876
BE-Lon,17,-361.1485691927115,15.83801457087344,-51.55277626268001,-260.388002506444,69.0810181458646,17,-309.59579293003145
BE-Maa,5,6.4916828536320175,5.192586630143994,-45.648976119229886,-180.1170916582837,109.53122971679495,17,52.1406589728619
BE-Vie,25,-488.02508675397326,23.716839027418445,-94.66019604976482,-217.73776380818433,4.302362494502348,17,-393.36489070420845
BJ-Bfg,10,-788.7604218669258,65.1803125638856,-72.61681586562501,-181.34705406135254,-8.29719643636476,17,-716.1436060013008
BJ-Nhu,10,-164.02349056780804,41.01652552015544,-69.46156622090656,-169.68769934082033,8.66823808593747,17,-94.56192434690148
BR-ITA,1,-141.0121835712,39.66340506048,-67.19582557443378,-194.60902310190102,121.18052203150437,17,-73.81635799676623
BR-Ji3,7,-1478.4545528639999,73.85008265279998,-28.058169661586184,-185.7243901678949,124.91431702423975,17,-1450.3963832024137
BR-Ma2,17,-473.63639727961515,173.05408389314022,-65.89889519364374,-163.20882091379687,-17.811073598171298,17,-407.7375020859714
BR-Ma3,10,-920.9942506458514,162.6927494130515,-58.39321830705445,-170.93279355279697,45.91281340049805,17,-862.6010323387969
BR-Npw,4,-417.31852484160004,70.46341375391998,-61.234703922363316,-231.5626531137694,61.975689023891135,17,-356.0838209192367
BR-Sa1,8,353.1411497046857,69.31808389851432,-70.20876388075563,-207.5479656008295,62.1657631489109,17,423.3499135854413
BR-Sa3,5,-133.2686860416,56.77768483200001,-50.3212756931251,-156.82429345632784,35.08664930914048,17,-82.9474103484749
BR-Xpw,3,268.32666550809597,39.19570097932801,-17.925526857991482,-155.0715972524414,79.5258968534547,17,286.25219236608746
