value,area_km2
-103.69999999999993,36754.58314061609
-103.59999999999991,20172.31508221861
-103.5,29872.4528366406
-103.39999999999998,20182.10476930917
-103.29999999999995,55565.13700053137
-103.19999999999993,46656.450252142786
-103.09999999999991,34688.75613044237
-103,44823.89348765338
-102.89999999999998,41137.346335075825
-102.79999999999995,53648.945608156384
-102.69999999999993,38058.93294284514
-102.59999999999991,42151.8939144284
-102.5,67805.44242969158
-102.39999999999998,31395.45915663816
-102.29999999999995,49344.62732325029
-102.19999999999993,56539.47094616473
-102.09999999999991,40002.48082786929
-102,35058.582138169935
-101.89999999999998,33875.62975128618
-101.79999999999995,31834.709103358866
-101.69999999999993,37044.88401954829
-101.59999999999991,35015.1377240699
-101.5,30185.1077327719
-101.39999999999998,31983.530568862352
-101.29999999999995,54263.25427531561
-101.19999999999993,31116.952665442954
-101.09999999999991,46279.710397034956
-101,54441.55350834108
-100.89999999999998,39994.197331275536
-100.79999999999995,48760.65962408549
-100.69999999999993,37381.67636968652
-100.59999999999991,38782.7329430808
-100.5,41974.50779143142
-100.39999999999998,32231.634897934793
-100.29999999999995,20324.758488277497
-100.19999999999993,48044.72742782823
-100.09999999999991,33965.09389531222
-100,55642.805582657726
-99.89999999999998,42906.38279059489
-99.79999999999995,49723.410003483914
-99.69999999999993,31134.06883492183
-99.59999999999991,46828.71661969531
-99.5,60401.259736502005
-99.39999999999998,59847.478137666585
-99.29999999999995,35614.730264428516
-99.19999999999993,41597.84258148427
-99.09999999999991,34422.58642591027
-99,42273.55728600893
-98.89999999999998,23359.33001217341
-98.79999999999995,53253.451417784985
-98.69999999999993,53975.22714373224
-98.59999999999991,29223.773070827774
-98.5,59595.67084482375
-98.39999999999998,29366.568995219575
-98.29999999999995,40701.22786299229
-98.19999999999993,52484.94062211231
-98.09999999999991,57609.2341739192
-98,35282.86266290638
-97.89999999999998,40998.67510952132
-97.79999999999995,34879.75153858967
-97.69999999999993,51363.60199615331
-97.59999999999991,37784.62933271546
-97.5,56997.46312094644
-97.39999999999998,46620.30358205313
-97.29999999999995,65031.95100216281
-97.19999999999993,49326.15029354193
-97.09999999999991,47522.59615322503
-97,60235.81376633976
-96.89999999999998,59271.47589684878
-96.79999999999995,56683.23827122076
-96.69999999999993,49010.80011077185
-96.59999999999991,70448.42866126876
-96.5,68235.0796412238
-96.39999999999998,50041.68444527464
-96.29999999999995,50049.891485626984
-96.19999999999993,31313.808672398744
-96.09999999999991,68142.49221398108
-96,29050.88555889136
-95.89999999999998,39954.47108339874
-95.79999999999995,59719.29138709246
-95.69999999999993,55190.538095600066
-95.59999999999991,66944.1471097209
-95.5,52752.029704363544
-95.39999999999998,57628.361323364676
-95.29999999999995,59428.40584332597
-95.19999999999993,41814.81405969322
-95.09999999999991,63986.01600631813
-95,46013.14661051168
-94.89999999999998,57378.851962678425
