site_id,product_id_june,product_name_june,first_year_june,last_year_june,data_hub,product_source_network,product_id_live,product_name_live,first_year_live,last_year_live,n_extracted_dirs,pid_changed,name_changed,year_extended,any_change,on_disk
DE-Fen,iP6bxAqxISmcVJ-L-k-t6rI8,ICOS_DE-Fen_FLUXNET_2023-2024_v1.3_r1.zip,2023,2024,ICOS,ICOS,eETzHZHUPeVJNjSa3fM24SeW,ICOS_DE-Fen_FLUXNET_2023-2025_v1.3_r1.zip,2023,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-Brs,2xakSoRK-wV1p54jFz4OvoRW,ICOS_DE-Brs_FLUXNET_2023-2024_v1.3_r1.zip,2023,2024,ICOS,ICOS,6vn4QkbfvwSPJpiJvhtI7OcR,ICOS_DE-Brs_FLUXNET_2023-2025_v1.3_r1.zip,2023,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-Amv,Z1HD_OQWjwEXa0SSjuDuV1lD,ICOS_DE-Amv_FLUXNET_2023-2024_v1.3_r1.zip,2023,2024,ICOS,ICOS,D540Aaoeoyu95tgun4okCWUT,ICOS_DE-Amv_FLUXNET_2023-2025_v1.3_r1.zip,2023,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
CZ-wet,r4kitQikcZG6sLZsHDmHf8Ks,ICOS_CZ-wet_FLUXNET_2006-2024_v1.3_r1.zip,2006,2024,ICOS,ICOS,ezclJdsSs31JZaOdM4gbLbIn,ICOS_CZ-wet_FLUXNET_2006-2025_v1.3_r1.zip,2006,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
CZ-Lnz,B2BjRQCUXetA0_vGI3x7WFUJ,ICOS_CZ-Lnz_FLUXNET_2015-2024_v1.3_r1.zip,2015,2024,ICOS,ICOS,qtH0gyWH-yg0lP-HmC2lXv24,ICOS_CZ-Lnz_FLUXNET_2015-2025_v1.3_r1.zip,2015,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
CZ-BK1,KiFUcCsC30gKhoS-4oJf5__f,ICOS_CZ-BK1_FLUXNET_2004-2024_v1.3_r1.zip,2004,2024,ICOS,ICOS,HH11awh469XrSeL0fO6WxYA4,ICOS_CZ-BK1_FLUXNET_2004-2025_v1.3_r1.zip,2004,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
CH-Dav,eHcoHNvdn-kHLqQoJbyUs0Yq,ICOS_CH-Dav_FLUXNET_1997-2024_v1.3_r1.zip,1997,2024,ICOS,ICOS,Pr9SZHBdwu6YbWLoOGhzjSJQ,ICOS_CH-Dav_FLUXNET_1997-2025_v1.3_r1.zip,1997,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
CD-Ygb,Y_4oHTr_yfOSLhV2_swVropx,ICOS_CD-Ygb_FLUXNET_2020-2024_v1.3_r1.zip,2020,2024,ICOS,ICOS,4yxFg7HiX3wwcXY7t16U5Jec,ICOS_CD-Ygb_FLUXNET_2020-2025_v1.3_r1.zip,2020,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
BE-Vie,h7WL05ckcTEzgXiZaFsQDL4r,ICOS_BE-Vie_FLUXNET_1996-2024_v1.3_r1.zip,1996,2024,ICOS,ICOS,mYZAS5TMuYruvEj80RAUa5OO,ICOS_BE-Vie_FLUXNET_1996-2025_v1.3_r1.zip,1996,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
BE-Maa,ZG_uAsLMIT7yUsnXnJSB5Ufb,ICOS_BE-Maa_FLUXNET_2016-2024_v1.3_r1.zip,2016,2024,ICOS,ICOS,DwEiFNFPCZypbHKn5zK7Phsl,ICOS_BE-Maa_FLUXNET_2016-2025_v1.3_r1.zip,2016,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
