site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id,factor_estimate,n_refs,nearest_cluster,group,was_in_original_26,kg_class_current,currently_classified,temporal_resolution,location_lat,location_long,n_months_qc_ge_0.9,has_measured_precip,factor_applied,map_era5_corrected,n_genuine_months,map_gauge,has_gauge,ratio_corrected_to_gauge
DE-Spw,30,2414.6585666666665,6,2613.9391666666666,72,7.126138888888889,2613.939166666667,72,72,0,553,558,FALSE,4.366471187462326,0.9237623420845996,0.9237623420845996,4.327345101553166,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-Spw_FLUXNET_2010-2015_v1.3_r1.zip,gb2UwUz8CoKkqKzLApzvIDME,4.346908144507746,2,4,clustered_4x_8x,FALSE,Cfb,TRUE,HH,51.89225,14.03369,0,FALSE,4,603.6646416666666,NA,NA,FALSE,NA
DE-Zrk,30,2655.0587333333333,8,2561.820625,96,6.998385416666666,2561.820625,96,96,0,594,584,FALSE,4.469795847362514,1.0363952524323723,1.0363952524323723,4.546333447488585,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-Zrk_FLUXNET_2013-2022_v1.3_r1.zip,2FbdCUZozMmOpJwWEN3plb49,4.508064647425549,2,4,clustered_4x_8x,FALSE,Cfb,TRUE,HH,53.875942,12.88901,0,FALSE,4,663.7646833333333,NA,NA,FALSE,NA
DK-Eng,30,2593.9773666666665,4,2642.8187500000004,48,7.216875,2642.81875,48,48,0,606,NA,FALSE,4.280490704070407,0.9815192081056132,0.9815192081056132,NA,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DK-Eng_FLUXNET_2005-2008_v1.3_r1.zip,AK-_MzK94ElJrWETR-czULE2,4.280490704070407,1,4,clustered_4x_8x,FALSE,Cfb,TRUE,NA,55.69053,12.19175,0,FALSE,4,648.4943416666666,NA,NA,FALSE,NA
EE-Rng,30,697.6556666666667,NA,NA,NA,NA,NA,NA,NA,NA,647,107.1,FALSE,1.0782931478619269,NA,NA,6.514058512293807,TRUE,FALSE,ICOS,EUF,v1.3,EUF_EE-Rng_FLUXNET_2023-2024_v1.3_r1.zip,bokdUcMa7H-mSuOKeMR3mYiK,3.7961758300778663,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,57.913143,26.694048,NA,FALSE,4,174.41391666666667,NA,NA,FALSE,NA
EE-Stg,30,2750.2968333333333,5,2762.335,60,7.563766666666667,2762.335,60,60,0,659,675,FALSE,4.17343980778958,0.9956420323144488,0.9956420323144488,4.0745138271604935,FALSE,FALSE,ICOS,EUF,v1.3,EUF_EE-Stg_FLUXNET_2016-2024_v1.3_r1.zip,C4Y455t1rGorFhBAkA5CiOXw,4.123976817475037,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,58.023636,26.070753,0,FALSE,4,687.5742083333333,NA,NA,FALSE,NA
ES-Dnn,30,1910.7018333333333,NA,NA,NA,NA,NA,NA,NA,NA,505,548.6,FALSE,3.78356798679868,NA,NA,3.4828688175963056,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Dnn_FLUXNET_2024-2024_v1.3_r1.zip,dnuv1IF5YfwR9HAxV7HJCIcx,3.633218402197493,2,4,clustered_4x_8x,FALSE,Csa,TRUE,HH,36.9968,-6.5118,NA,FALSE,4,477.6754583333333,NA,NA,FALSE,NA
ES-FtD,30,1910.7018333333333,NA,NA,NA,NA,NA,NA,NA,NA,511,548.6,FALSE,3.7391425309849966,NA,NA,3.4828688175963056,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-FtD_FLUXNET_2021-2024_v1.3_r1.zip,XVdkuBOyHTuezFce92fJHego,3.6110056742906513,2,4,clustered_4x_8x,FALSE,Csa,TRUE,HH,36.99854,-6.434575,NA,FALSE,4,477.6754583333333,NA,NA,FALSE,NA
ES-MtB,30,1910.7018333333333,NA,NA,NA,NA,NA,NA,NA,NA,500,548.6,FALSE,3.8214036666666664,NA,NA,3.4828688175963056,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-MtB_FLUXNET_2021-2024_v1.3_r1.zip,fZRunEwzLwhz0ZYzshuo9-cS,3.652136242131486,2,4,clustered_4x_8x,FALSE,Csa,TRUE,HH,37.020206,-6.5544033,NA,FALSE,4,477.6754583333333,NA,NA,FALSE,NA
ES-MtN,30,1910.7018333333333,NA,NA,NA,NA,NA,NA,NA,NA,507,548.6,FALSE,3.7686426692965154,NA,NA,3.4828688175963056,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-MtN_FLUXNET_2024-2024_v1.3_r1.zip,lJTi2ztBm4QTcyuhsB4tcap1,3.6257557434464105,2,4,clustered_4x_8x,FALSE,Csa,TRUE,HH,36.99234,-6.4826016,NA,FALSE,4,477.6754583333333,NA,NA,FALSE,NA
ES-Mzn,30,2128.8712666666665,NA,NA,NA,NA,NA,NA,NA,NA,424,512,FALSE,5.020922798742138,NA,NA,4.157951692708333,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Mzn_FLUXNET_2023-2024_v1.3_r1.zip,HPlYEFEhMzxWYOTC7Ch8Ku5a,4.589437245725236,2,4,clustered_4x_8x,FALSE,Cfb,TRUE,HH,40.089497,-0.827409,NA,FALSE,4,532.2178166666666,NA,NA,FALSE,NA
