site_id,location_lat,location_long,diff,axis,biomass_percentile
US-xKZ,39.1008,-96.5631,75.74434094238282,nee,42.88
US-xLE,31.8539,-88.1612,242.95052667236325,nee,70.19999999999999
US-xMB,38.2483,-109.3883,-2.356217346191407,nee,13.76
US-xML,37.3783,-80.5248,10.648951000976567,nee,96.76
US-xNG,46.7697,-100.9154,6.233037530517578,nee,87.36
US-xNQ,40.1776,-112.4524,-24.687113298339845,nee,58.599999999999994
US-xPU,19.5531,-155.3173,397.443944519043,nee,42.199999999999996
US-xRM,40.2759,-105.5459,40.67885272827148,nee,71
US-xRN,35.9641,-84.2826,2.1704187683105474,nee,88.72
US-xSB,29.6893,-81.9934,-9.01030040283203,nee,3.64
US-xSC,38.8929,-78.1395,2.7745951049804702,nee,77.96
US-xSE,38.8901,-76.56,383.7300531616211,nee,84.76
US-xSJ,37.1088,-119.7323,177.18441006469726,nee,28.799999999999997
US-xSL,40.4619,-103.0293,-25.117499615478508,nee,97.08
US-xSP,37.0334,-119.26220000000001,-32.48721788330078,nee,61.24000000000001
US-xSR,31.9107,-110.8355,19.07356769104004,nee,21.36
US-xST,45.5089,-89.5864,314.13885382080076,nee,82.52000000000001
US-xTE,37.0058,-119.006,157.44198211669922,nee,82.88
US-xTL,68.6611,-149.3705,3.9697807281494164,nee,80.72
US-xTR,45.4937,-89.5857,184.38167156982422,nee,89.64
US-xUK,39.0404,-95.1921,6.203582867431642,nee,98.64
US-xUN,46.2339,-89.5373,238.28819424438478,nee,96.16
US-xWD,47.1282,-99.2414,-12.842834277343751,nee,65.2
US-xWR,45.8205,-121.9519,-39.98409331542969,nee,66.75999999999999
US-xYE,44.9535,-110.5391,50.79087577514648,nee,10.12
US-YK2,61.2548,-163.259,46.79411977539063,nee,65.4
US-ZF1,40.7976,-87.5355,129.8350558166504,nee,86.48
US-ZF2,40.7939,-87.5355,93.42105581665038,nee,86.48
ZA-Uby,-27.3952,32.5889,341.69517068481446,nee,65.12
ZA-Spk,-28.70408,29.52614,194.4596058959961,nee,72.56
ZA-BfS,-28.8906,24.86112,226.42020037841797,nee,68.04
ZA-BfK,-28.856483,24.83985,-2.5239096215820283,nee,68.04
KR-WdE,34.35956,126.67779,466.74034063720705,nee,88.75999999999999
KR-UAO,36.41682,128.79904,-61.64959423828124,nee,24.4
KR-TwC,37.30493,127.31743,1167.5797578430177,nee,94.48
KR-SmM,37.93894,126.95471,382.62486026000977,nee,91.64
KR-ScC,37.22141,129.29863,154.9639364929199,nee,67.52
KR-PcD,37.48184,128.51604,29.778015563964843,nee,70.16
KR-Nj2,35.0269,126.8219,-36.84477126220703,nee,15.120000000000001
KR-Nj1,35.02753,126.82093,50.67976873779297,nee,15.120000000000001
KR-Kw2,37.74869,127.14888,117.82590444946288,nee,67.32000000000001
KR-Kw1,37.74843,127.16261,172.3564044494629,nee,69.16
KR-JjM,33.31798,126.56772,558.3203990478517,nee,94.56
KR-Hnm,34.5538,126.56992,-25.606999926757815,nee,36.199999999999996
KR-HcM,37.61938,127.84571,295.43175442504884,nee,90.68
KR-HPK,34.47722,126.48105,644.4591394348145,nee,87.32
KR-GmS,35.75089,126.81378,397.8333380737305,nee,53.36
KR-GmR,35.74862,126.86432,719.1473380737305,nee,53.36
KR-GmP,35.74502,126.85222,558.3423380737305,nee,62.68
KR-CmF,37.1599,127.65365,140.29555004882812,nee,16.16
KR-CRK,38.2013,127.2497,-5.059042730712889,nee,3.16
KR-AdC,36.50565,126.35909,440.75772741699217,nee,92.88
TH-Mae,18.42264,99.72025,637.7546906738281,nee,47.760000000000005
TH-Kog,18.81267,98.90225,1184.263392944336,nee,76.96
MY-LHP,4.201007,114.03908,302.8902412109375,nee,72.92
MN-Nkh,47.693592,107.48934,33.48128453979493,nee,71.84
MN-Kbu,47.21397,108.737335,479.5585086364746,nee,99.72
MN-Hst,47.59293,105.85497,33.71613854064941,nee,98.56
KH-Kmp,12.744579,105.47857,24.364418591308592,nee,98.08
JP-Ynf,26.751,128.21266,366.5660202331543,nee,95.19999999999999
JP-Yms,34.79028,135.84094,182.9327783203125,nee,99.52
