axis,site_id,location_lat,location_long,n_measured_years,stat_measured_years,stat_full_34yr,paired_diff
nee,US-xNQ,40.1776,-112.4524,2,NA,34.287193298339844,NA
nee,US-xPU,19.5531,-155.3173,1,NA,70.52405548095703,NA
nee,US-xRM,40.2759,-105.5459,3,32.765356381734215,33.657047271728516,-0.891690889994301
nee,US-xRN,35.9641,-84.2826,3,63.418283462524414,59.42998123168945,3.988302230834961
nee,US-xSB,29.6893,-81.9934,2,NA,70.84510040283203,NA
nee,US-xSC,38.8929,-78.1395,2,NA,60.81470489501953,NA
nee,US-xSE,38.8901,-76.56,4,51.973748564720154,65.1939468383789,-13.220198273658752
nee,US-xSJ,37.1088,-119.7323,3,29.998594522476196,37.558589935302734,-7.559995412826538
nee,US-xSL,40.4619,-103.0293,1,NA,36.86944961547851,NA
nee,US-xSP,37.0334,-119.26220000000001,3,51.067849795023605,39.64801788330078,11.419831911722824
nee,US-xSR,31.9107,-110.8355,2,NA,24.90163230895996,NA
nee,US-xST,45.5089,-89.5864,4,46.715626418590546,53.34514617919922,-6.629519760608673
nee,US-xTE,37.0058,-119.006,2,NA,39.64801788330078,NA
nee,US-xTL,68.6611,-149.3705,3,14.08583144346873,27.298269271850582,-13.212437828381852
nee,US-xTR,45.4937,-89.5857,5,46.595299053192136,50.79132843017578,-4.196029376983645
nee,US-xUK,39.0404,-95.1921,4,38.792059659957886,55.88271713256836,-17.090657472610474
nee,US-xUN,46.2339,-89.5373,5,55.27636890411377,53.117305755615234,2.1590631484985323
nee,US-xWD,47.1282,-99.2414,4,38.39293913543224,39.45013427734375,-1.0571951419115067
nee,US-xWR,45.8205,-121.9519,4,49.988463044166565,43.65202331542969,6.336439728736877
nee,US-xYE,44.9535,-110.5391,1,NA,36.13092422485352,NA
nee,US-YK2,61.2548,-163.259,1,NA,36.035980224609375,NA
nee,ZA-BfS,-28.8906,24.86112,2,NA,44.27429962158203,NA
nee,ZA-BfK,-28.856483,24.83985,3,70.0482292175293,44.27429962158203,25.773929595947266
nee,KR-WdE,34.35956,126.67779,2,NA,54.88365936279297,NA
nee,KR-UAO,36.41682,128.79904,2,NA,73.69659423828125,NA
nee,KR-SmM,37.93894,126.95471,4,60.90838861465454,57.572139739990234,3.3362488746643066
nee,KR-ScC,37.22141,129.29863,4,72.75197410583496,60.37056350708008,12.381410598754883
nee,KR-PcD,37.48184,128.51604,3,80.16753896077473,68.44498443603516,11.722554524739579
nee,KR-Nj2,35.0269,126.8219,1,NA,65.70423126220703,NA
nee,KR-Kw2,37.74869,127.14888,4,67.99499225616455,55.52059555053711,12.474396705627441
nee,KR-Kw1,37.74843,127.16261,5,66.19666566848755,55.52059555053711,10.676070117950445
nee,KR-JjM,33.31798,126.56772,4,46.8423228263855,46.28160095214844,0.5607218742370605
nee,KR-Hnm,34.5538,126.56992,3,84.39592615763347,67.89179992675781,16.504126230875656
nee,KR-HcM,37.61938,127.84571,3,73.31747118631999,63.79624557495117,9.52122561136882
nee,KR-HPK,34.47722,126.48105,1,NA,53.85786056518555,NA
nee,KR-GmS,35.75089,126.81378,3,86.5210647881031,68.04566192626953,18.475402861833572
nee,KR-GmR,35.74862,126.86432,2,NA,68.04566192626953,NA
nee,KR-GmP,35.74502,126.85222,1,NA,68.04566192626953,NA
nee,KR-CmF,37.1599,127.65365,5,77.72898054122925,66.542449951171875,11.186530590057373
nee,KR-CRK,38.2013,127.2497,6,71.89484882354736,59.69864273071289,12.196206092834473
nee,KR-AdC,36.50565,126.35909,2,NA,57.16377258300781,NA
