site_id,cancellation_ratio
IT-CA1,2.3607415349018486
IT-BsB,2.142465841898727
IT-Arz,1.6072666791959793
IL-Yat,55.19631524572915
IE-CaN,2.0124025982878395
FR-Nzn,2.47545081563312
FR-Mau,3.106304106211763
FR-LBr,39.32732115178273
FI-Sar,1.7734186316806382
FI-Ruk,1.9068318150502865
FI-Rk2,25.483696987529637
FI-Qvd,1.8261098131250453
FI-Pap,1.7734186316806382
FI-Nsv,1.6186761964428387
FI-Jok,1.991539984297756
ES-Yst,3.435436184241778
ES-VDA,4.036402728889861
ES-Srn,2.302017266496983
ES-Pzb,4.824628483346835
ES-Pdu,6.819731827022505
ES-Mzn,2.302017266496983
ES-MtB,3.139138697896987
ES-Mcd,5.810204480340413
ES-LgS,3.478380911266487
ES-LM2,3.168748203709663
ES-LM1,3.168748203709663
ES-LJu,44.79474795549378
ES-Hen,7.676602883083289
ES-HeB,7.676602883083289
ES-FtD,4.73310319525475
ES-Crg,3.5422979365920106
ES-Amo,12.35923841506339
ES-Agu,12.35923841506339
ES-Abr,3.2654509573523454
EE-Stg,1.7707768237381964
EE-Rng,1.4468295581144632
EE-Pts,2.0442515946716875
DK-Eng,5.795493092228136
DE-Zrk,2.2169921937240016
DE-Spw,2.307799456570136
DE-SfS,1.802693575308638
DE-Seh,3.017589658844275
DE-SbM,2.1877943919760905
DE-RuM,3.017589658844275
DE-RuC,3.017589658844275
DE-Rns,2.0262743337242917
DE-Obe,1.8291354305474428
DE-Lnf,2.737634435871221
DE-Lkb,1.5245801701194497
DE-Hte,3.2730611556391023
DE-Hdn,2.6678590854758157
DE-Akm,2.2033568829058017
CZ-Stn,3.5574307132716583
CZ-RAJ,4.356497838632704
CZ-LnG,2.5087632076492277
CZ-KrP,2.0705869445999032
CZ-BK2,4.950058025650337
CH-Tnk,4.014154335484202
CH-Rtb,4.014154335484202
CH-Rh2,1.469113371278796
CH-Rh1,1.469113371278796
CH-Oe3,2.4735571926030135
CH-Oe2,2.4735571926030135
CH-Oe1,2.4735571926030135
CH-Lae,5.117195279100573
CH-Fru,4.014154335484202
CH-Crs,2.938053234048137
CH-Cha,5.117195279100573
CH-Aws,1.4958958096809878
BE-Lcr,3.4858693323690293
AT-PsM,1.3279394134143798
AT-Nsd,2.2547194983677734
AT-Neu,2.2991061222255267
AT-Mmg,1.5886293382290282
CN-Zha,3.523777801405663
CN-Yuc,4.41249811877651
CN-You,2.0518545446170746
CN-Yan,28.803420642648266
CN-YaS,28.803420642648266
CN-Xi2,2.6159667481268123
CN-Wnb,135.32124303351512
CN-Sdq,13.022422733896459
CN-Nmn,3.878366494571542
CN-Mxn,1.760255703017621
CN-Lch,4.557484935509016
CN-Jzh,250.82846915854782
CN-Jng,1.6802984416310718
CN-Huz,3.523777801405663
CN-HeM,14.6732541498914
CN-HeD,7.5569166026718
CN-HaW,1.6802984416310718
CN-Ha2,1.6802984416310718
CN-GuT,2.5773555532486023
CN-Erg,4.683228965278653
CN-Dzo,53.40483557725091
CN-Du2,4.419802689463686
CN-Dsh,1.7266017691045201
CN-Dmn,3.523777801405663
CN-Din,3.0820082230359227
CN-Dda,9.106938500070182
CN-Dan,2.561090061673544
CN-DaW,2.561090061673544
CN-BeO,2.9593021134730524
CN-Ash,2.1129269998390803
CN-Aro,2.0518545446170746
AU-Tum,2.169893729344653
NZ-Kop,2.4063184282118844
NZ-ADd,39.55661148826089
AU-Lit,3.2793255535590222
AU-Sil,171.3164372544671
AU-How,3.3609152146861967
AU-Sno,5.665028017488481
NZ-Cla,17.18662876252812
AU-Emr,41.829647356711455
AU-Ctr,1.9901340674941215
NZ-BFu,17.18662876252812
AU-DaP,5.830365939591346
AU-Rob,2.2236729771908554
AU-Ya2,3.6222502316504297
AU-Stp,5.682594770920125
AU-Cpr,12.349704496349714
AU-Sam,7.700833316412383
AU-Rgf,6.585702830449975
NZ-ADw,39.55661148826089
AU-Fog,3.789544754972378
AU-Gin,22.475039527164665
NZ-Oxf,2.5405032081823338
AU-Fle,35.21042613094427
